"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"112","NK","LTB","NK","TNFRSF1A",1,119.75,122.5,0.107080780623247,107,0.739651216021976,81,-0.293189886893939,153,-0.19788777853367,138
"113","CD8 T","TGFB1","CD8 T","TGFBR2",1,129,129.5,0.105086618190733,110,0.547771365595473,147,-0.102901359077721,133,-0.0520631773926006,126
"114","CD8 T","TIMP1","CD8 T","CD63",1,116.75,121,0.0903799590622566,113,0.722682538992623,89,-0.14109653088521,136,-0.104314410435448,129
"115","B","JMJD6","CD8 T","PTDSS1",1,128.25,120.5,0.0869593855026669,114,0.481421691100555,158,-0.0654462524263583,121,-0.0351609357378465,120
"116","CD8 T","PTDSS1","B","JMJD6",1,128.25,120.5,0.0869593855026669,114,0.481421691100555,158,-0.0654462524263583,121,-0.0351609357378465,120
"117","NK","CD2","NK","CD48",1,107.75,125,0.0845880269830131,116,0.826305293665885,45,-0.140180167984771,134,-0.172362913615518,136
"118","NK","CD48","NK","CD2",1,107.75,125,0.0845880269830131,116,0.826305293665885,45,-0.140180167984771,134,-0.172362913615518,136
"119","CD8 T","IFNG","NK","IFNGR1",1,127.75,120.5,0.0845226615798031,118,0.483425219459622,157,-0.0253926532972217,113,-0.0475888992844179,123
"120","NK","TIMP1","CD8 T","CD63",1,120.25,126,0.0770922001988486,120,0.706469172341451,92,-0.150810641721104,137,-0.152087896788033,132
"121","B","TGFB1","B","CXCR4",1,114,126,0.0769742026402915,121,0.78859962152013,66,-0.159144478182594,138,-0.147603418334454,131
"122","NK","HLA-E","CD8 T","KLRD1",1,93.75,107.5,0.0767374876976047,122,0.834300727904285,38,-0.0416204803995929,115,0.0562128791746851,100
"123","CD8 T","KLRD1","NK","HLA-E",1,93.75,107.5,0.0767374876976047,122,0.834300727904285,38,-0.0416204803995929,115,0.0562128791746851,100
"124","NK","HLA-A","CD8 T","KLRD1",1,83.25,91.5,0.0761076268132317,124,0.851147578883542,26,-0.0443213059580157,117,0.145051429348818,66
"125","CD8 T","KLRD1","NK","HLA-A",1,83.25,91.5,0.0761076268132317,124,0.851147578883542,26,-0.0443213059580157,117,0.145051429348818,66
"126","CD8 T","KLRD1","NK","B2M",1,77.5,82,0.0750413074879038,126,0.874398452848506,20,-0.0586143895625336,119,0.254328397919084,45
"127","CD8 T","HLA-A","CD8 T","KLRD1",1,98.75,119,0.0733915344611855,127,0.848830813086794,30,-0.08036872679082,126,0.00963286897830767,112
"128","CD8 T","KLRD1","CD8 T","HLA-A",1,98.75,119,0.0733915344611855,127,0.848830813086794,30,-0.08036872679082,126,0.00963286897830767,112
"129","CD8 T","HLA-E","CD8 T","KLRD1",1,106,126.5,0.0731302690013629,129,0.830945828086989,42,-0.0902067271973634,129,-0.0481722273031993,124
"130","CD8 T","KLRD1","CD8 T","HLA-E",1,106,126.5,0.0731302690013629,129,0.830945828086989,42,-0.0902067271973634,129,-0.0481722273031993,124
"131","CD8 T","KLRD1","CD8 T","B2M",1,99.75,122.5,0.0723193782812267,131,0.872355535936838,22,-0.0948982442581182,132,0.00948601555777573,114
"132","B","ITGB2","B","ICAM2",1,131.5,140,0.0712229823792638,132,0.761957830326967,74,-0.24148099701946,148,NA,172
"133","B","ICAM2","B","ITGB2",1,131.5,140,0.0712229823792638,132,0.761957830326967,74,-0.24148099701946,148,NA,172
"134","CD8 T","TIMP1","B","CD63",1,128.75,134.5,0.0698087473421575,134,0.696074799321167,96,-0.242504165890216,150,-0.167620595827233,135
"135","CD8 T","KLRD1","B","B2M",1,114.75,137,0.0656086724252696,135,0.86683459473956,25,-0.163206819846755,139,-0.594153934029413,160
"136","NK","CCL5","B","CXCR3",1,111.75,113.5,0.0642051558015187,136,0.732411887107032,84,-0.000994915755525225,108,-0.0190722100757391,119
"137","B","HLA-A","CD8 T","KLRD1",1,118,139.5,0.0634701969199829,137,0.839274672559611,36,-0.187958823612072,142,-0.485023818879681,157
"138","CD8 T","KLRD1","B","HLA-A",1,118,139.5,0.0634701969199829,137,0.839274672559611,36,-0.187958823612072,142,-0.485023818879681,157
"139","B","HLA-E","CD8 T","KLRD1",1,119,139.5,0.0631016014954326,139,0.820331831888797,49,-0.179482391846389,140,-0.338380172424041,148
"140","CD8 T","KLRD1","B","HLA-E",1,119,139.5,0.0631016014954326,139,0.820331831888797,49,-0.179482391846389,140,-0.338380172424041,148
