"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"114","B","NK","CALM1","CALM1","SELL","SELL",1.57497508930134,1.76184856458229,6.14501061093323,3.79505412507465,0.118987586283472
"115","B","NK","CALM3","CALM3","SELL","SELL",0.591674319958562,1.76184856458229,2.01224981958287,3.79505412507465,0.13650590102576
"116","B","NK","GNAI2","GNAI2","S1PR4","S1PR4",0.426597193353934,0.598346267100003,1.31754657238961,1.8300646257036,0.105861532773898
"117","B","NK","HLA-B","HLA-B","CANX","CANX",2.91367368215144,0.423079387823194,9.77183363264043,1.09200351014197,0.115521462838371
"118","B","NK","CALR","CALR","HLA-F","HLA-F",0.571057825365127,0.711714099875384,2.63816124635139,2.2639228574605,0.0680491486552831
"119","B","NK","B2M","B2M","HLA-F","HLA-F",5.08030092207413,0.711714099875384,16.4909361341051,2.2639228574605,0.0968474239498792
"120","B","NK","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.264592629599535,1.11623711513804,0.697683446781304,0.104560797359931
"121","B","NK","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.217274440821294,10.9694958864466,0.627486027700406,0.103194679070221
"122","B","NK","B2M","B2M","CD3D","CD3D",5.08030092207413,0.382422591834352,16.4909361341051,3.07099540210601,0.03836264140403
"123","B","NK","HLA-A","HLA-A","CD3D","CD3D",3.2691842147084,0.382422591834352,10.9694958864466,3.07099540210601,0.0371122340123234
"124","B","NK","HLA-C","HLA-C","CD3D","CD3D",3.48661807632961,0.382422591834352,11.7154620395393,3.07099540210601,0.0370603341356277
"125","B","NK","HLA-B","HLA-B","CD3D","CD3D",2.91367368215144,0.382422591834352,9.77183363264043,3.07099540210601,0.0371303652278539
"126","B","NK","POMC","POMC","ADRB2","ADRB2",0.194016969703946,0.208359627799299,0.459208753757534,0.402891879125864,0.218501598355421
"127","B","NK","HSPA8","HSPA8","ADRB2","ADRB2",1.50209942866428,0.208359627799299,5.57568948008188,0.402891879125864,0.139323751867357
"128","B","NK","ACTR2","ACTR2","ADRB2","ADRB2",0.389386346107171,0.208359627799299,0.940680635221764,0.402891879125864,0.21407382768566
"129","B","NK","HLA-B","HLA-B","KIR3DL2","KIR3DL2",2.91367368215144,0.182113235170343,9.77183363264043,0.221435228343895,0.245222119574006
"130","B","NK","FAM3C","FAM3C","LAMP1","LAMP1",0.26439734593398,0.724773124606441,0.65102348560133,1.3823819645479,0.212928824780284
"131","B","NK","B2M","B2M","KIR2DL3","KIR2DL3",5.08030092207413,0.258151009290912,16.4909361341051,0.258151009290912,0.308066254138689
"132","B","NK","HLA-A","HLA-A","KIR2DL3","KIR2DL3",3.2691842147084,0.258151009290912,10.9694958864466,0.258151009290912,0.298025018519551
"133","B","NK","HLA-B","HLA-B","KIR2DL3","KIR2DL3",2.91367368215144,0.258151009290912,9.77183363264043,0.258151009290912,0.298170618912199
"134","B","NK","ICAM2","ICAM2","ITGAL","ITGAL",0.534134895138124,0.251222995315255,1.40033817734311,0.540790813749418,0.177193630288325
"135","B","NK","B2M","B2M","CD247","CD247",5.08030092207413,1.93758526636851,16.4909361341051,3.27735123790336,0.18213019958957
"136","B","NK","LGALS9","LGALS9","CD47","CD47",0.374319606450614,0.96402498162402,0.534913018137517,2.09700906244065,0.321697280190437
"137","B","NK","CD59","CD59","CD2","CD2",0.1898219513316,0.729939927646468,0.663036614621859,2.35468256057391,0.0887490421400788
"138","B","NK","B2M","B2M","KLRD1","KLRD1",5.08030092207413,1.2213122175345,16.4909361341051,1.55179754467066,0.24245758171342
"139","B","NK","HLA-B","HLA-B","KLRD1","KLRD1",2.91367368215144,1.2213122175345,9.77183363264043,1.55179754467066,0.234669413570041
"140","B","NK","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,2.20648250147255,1.40033817734311,4.0705488221705,0.20675953268113
"141","B","NK","VIM","VIM","CD44","CD44",2.02913858438351,0.425514216912607,5.3647900371808,2.10305992165709,0.0765281839510415
"142","B","NK","B2M","B2M","CD3G","CD3G",5.08030092207413,0.196046214000817,16.4909361341051,0.79741212112046,0.0757390327857584
"143","B","NK","B2M","B2M","KLRC1","KLRC1",5.08030092207413,0.642471081440022,16.4909361341051,0.893647392878193,0.221478472414273
"144","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",0.415304167091577,0.21085677859872,1.6229445508379,0.340865791012027,0.158294839158179
"145","B","CD8 T","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.327414437002168,6.59848126244347,0.700672742117141,0.0348187551254283
"146","B","CD8 T","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.308531709927766,0.162130281769887,0.553902131221905,0.557014845288908
"147","B","CD8 T","MIF","MIF","CXCR4","CXCR4",0.910488685785623,2.01083647943994,3.25077398115297,4.41371926420569,0.127602689275572
"148","B","CD8 T","MIF","MIF","CD74","CD74",0.910488685785623,2.35808831742312,3.25077398115297,9.07811013663448,0.0727532498297344
"149","B","CD8 T","GRN","GRN","TNFRSF1A","TNFRSF1A",0.37397282069396,0.157273328330124,0.729451148448679,0.484905092820628,0.166280820937294
"150","B","CD8 T","GNAS","GNAS","PTGDR","PTGDR",0.734176766623014,0.154508872030404,1.86524208179663,0.980014881462446,0.0620563436527279
"151","B","CD8 T","ADAM10","ADAM10","CD44","CD44",0.119796825410415,1.02215523036448,0.362590898918807,2.10305992165709,0.160580800542219
"152","B","CD8 T","GRN","GRN","TNFRSF1B","TNFRSF1B",0.37397282069396,0.439202064711186,0.729451148448679,1.00335245643575,0.224416447111923
"153","B","CD8 T","ICAM3","ICAM3","ITGAL","ITGAL",0.954335724036847,0.253758341654867,2.63739104504272,0.540790813749418,0.169792176610995
"154","B","CD8 T","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,1.10399367841308,2.63739104504272,4.0705488221705,0.0981386936194067
"155","B","CD8 T","MIF","MIF","CD44","CD44",0.910488685785623,1.02215523036448,3.25077398115297,2.10305992165709,0.136129731072893
"156","B","CD8 T","LGALS1","LGALS1","ITGB1","ITGB1",0.611329574820841,0.188772525439238,3.58829065224662,0.389145404949874,0.0826446361721081
