"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"127","B","NK","HLA-F","HLA-F","KIR3DL2","KIR3DL2",0.0380774623995144,0.348584888095529,0.193331175247522
"128","B","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0789395494195753,0.205510887770244,0.14222521859491
"129","B","NK","RPS27A","RPS27A","ADRB2","ADRB2",0.405250203765544,0.166455069527251,0.285852636646398
"130","B","NK","RPS27A","RPS27A","TGFBR1","TGFBR1",0.405250203765544,0.353414029386622,0.379332116576083
"131","B","NK","UBA52","UBA52","ADRB2","ADRB2",0.488520213935104,0.166455069527251,0.327487641731178
"132","B","NK","UBA52","UBA52","NOTCH1","NOTCH1",0.488520213935104,0.168692371645531,0.328606292790317
"133","B","NK","UBA52","UBA52","TGFBR1","TGFBR1",0.488520213935104,0.353414029386622,0.420967121660863
"134","B","NK","UBB","UBB","ADRB2","ADRB2",-0.634822590689962,0.166455069527251,-0.234183760581355
"135","B","NK","UBB","UBB","TGFBR1","TGFBR1",-0.634822590689962,0.353414029386622,-0.14070428065167
"136","B","NK","UBC","UBC","ADRB2","ADRB2",-0.127190301506942,0.166455069527251,0.0196323840101549
"137","B","NK","UBC","UBC","TGFBR1","TGFBR1",-0.127190301506942,0.353414029386622,0.11311186393984
"138","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.163998073903803,0.242034649719245,0.0390182879077208
"139","B","CD8 T","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,0.16845511424353,-0.388489734751288
"140","B","CD8 T","EBI3","EBI3","IL27RA","IL27RA",0.426733017876244,0.255037635231371,0.340885326553808
"141","B","CD8 T","GNAS","GNAS","PTGDR","PTGDR",0.136094600973003,-0.212110612174431,-0.038008005600714
"142","B","CD8 T","CD48","CD48","CD2","CD2",0.0488128787647804,0.631064205389701,0.339938542077241
"143","B","CD8 T","LGALS1","LGALS1","CD69","CD69",-0.460596838299222,-0.287037565180626,-0.373817201739924
"144","B","CD8 T","CD47","CD47","SIRPG","SIRPG",-0.0455568984592878,0.391189671715396,0.172816386628054
"145","B","CD8 T","ICAM3","ICAM3","ITGAL","ITGAL",0.0850170768506756,0.149572199800229,0.117294638325452
"146","B","CD8 T","ICAM3","ICAM3","ITGB2","ITGB2",0.0850170768506756,-0.224075373209829,-0.0695291481795767
"147","B","CD8 T","LGALS1","LGALS1","ITGB1","ITGB1",-0.460596838299222,0.149281124517371,-0.155657856890926
"148","B","CD8 T","LGALS1","LGALS1","PTPRC","PTPRC",-0.460596838299222,0.202604225345937,-0.128996306476643
"149","B","CD8 T","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,-0.387697985010333,-0.325144670292018
"150","B","CD8 T","TGFB1","TGFB1","SMAD3","SMAD3",-0.163998073903803,0.186384863569742,0.0111933948329692
"151","B","CD8 T","TGFB1","TGFB1","ITGB1","ITGB1",-0.163998073903803,0.149281124517371,-0.00735847469321636
"152","B","CD8 T","TGFB1","TGFB1","CXCR4","CXCR4",-0.163998073903803,0.493108956606549,0.164555441351373
"153","B","CD8 T","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,-0.526539177461466,-0.352662561128827
"154","B","CD8 T","SELPLG","SELPLG","ITGB2","ITGB2",-0.178785944796187,-0.224075373209829,-0.201430659003008
"155","B","CD8 T","LYZ","LYZ","ITGAL","ITGAL",0.0980159620538164,0.149572199800229,0.123794080927022
"156","B","CD8 T","ADAM28","ADAM28","ITGA4","ITGA4",0.426905116446351,0.161806293867311,0.294355705156831
"157","B","CD8 T","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",-0.11699182378592,0.188822960826823,0.0359155685204516
"158","B","CD8 T","ARPC5","ARPC5","ADRB2","ADRB2",-0.0599534747669709,0.052092057549222,-0.00393070860887444
"159","B","CD8 T","GNAI2","GNAI2","S1PR5","S1PR5",-0.0171793206010794,0.0277568787711517,0.00528877908503615
"160","B","CD8 T","GNAI2","GNAI2","CXCR3","CXCR3",-0.0171793206010794,0.16845511424353,0.0756378968212251
"161","B","CD8 T","PKM","PKM","CD44","CD44",-0.0877324358612182,0.363316964693636,0.137792264416209
"162","B","CD8 T","CALM1","CALM1","PTPRA","PTPRA",-0.532072576245199,0.0757219678694865,-0.228175304187856
"163","B","CD8 T","SPTAN1","SPTAN1","PTPRA","PTPRA",-0.0493523355592436,0.0757219678694865,0.0131848161551214
"164","B","CD8 T","HLA-C","HLA-C","CD3G","CD3G",-0.862434970519042,0.179574148931341,-0.34143041079385
"165","B","CD8 T","HLA-E","HLA-E","KLRD1","KLRD1",-0.456533997813046,-0.220226347035037,-0.338380172424041
"166","B","CD8 T","HLA-E","HLA-E","KLRC1","KLRC1",-0.456533997813046,-0.0669805388544327,-0.261757268333739
"167","B","CD8 T","HLA-A","HLA-A","CD3G","CD3G",-0.749821290724325,0.179574148931341,-0.285123570896492
"168","B","CD8 T","HLA-B","HLA-B","CD3G","CD3G",-0.728616340036732,0.179574148931341,-0.274521095552695
"169","B","CD8 T","LTB","LTB","TNFRSF1A","TNFRSF1A",0.621584412066401,-0.00893921083252189,0.30632260061694
"170","B","CD8 T","CALM2","CALM2","SELL","SELL",0.173735605714672,-0.526539177461466,-0.176401785873397
"171","B","CD8 T","CALM1","CALM1","SELL","SELL",-0.532072576245199,-0.526539177461466,-0.529305876853333
"172","B","CD8 T","CALM3","CALM3","SELL","SELL",-0.0902805206606217,-0.526539177461466,-0.308409849061044
"173","B","CD8 T","GNAI2","GNAI2","S1PR4","S1PR4",-0.0171793206010794,0.00502576451606294,-0.00607677804250824
"174","B","CD8 T","HLA-B","HLA-B","CANX","CANX",-0.728616340036732,-0.0835495891389313,-0.406082964587832
"175","B","CD8 T","CALR","CALR","HLA-F","HLA-F",-0.330657276432627,0.0087099939294325,-0.160973641251597
"176","B","CD8 T","B2M","B2M","HLA-F","HLA-F",-0.96808152102379,0.0087099939294325,-0.479685763547179
