"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"64","NK","HLA-C","NK","CD53",0.0281414783415797,127.75,94.5,0.143666282215432,319,0.935694821209235,3,0.196597173231569,166,0.582366210748648,23
"65","NK","CD244","CD8 T","CD48",0.0281487450554249,101.75,84.5,0.348394514447537,48,0.804342387242528,190,0.31709766337752,92,0.386671210315087,77
"66","B","CD81","B","CD37",0.0287460451135235,118,114,0.197616402747033,191,0.817440573621201,167,0.368314636530957,61,0.433323181184934,53
"67","NK","MIF","CD8 T","CXCR4",0.0293320573133952,109.25,82.5,0.184479871677385,217,0.890987261389226,55,0.330582667870262,83,0.374742661878968,82
"68","NK","CD99","CD8 T","PILRB",0.0293528008915121,136,132,0.222699147247906,161,0.803790702997901,192,0.29321294037773,103,0.357267006674297,88
"69","NK","HLA-B","NK","KIR3DL2",0.0299691116609066,115.5,120,0.303699554402686,69,0.802857233158265,193,0.189929615687202,171,0.54666623564551,29
"70","NK","MIF","CD8 T","CD44",0.0299691116609066,127.75,109,0.196807727661363,193,0.853528326350915,106,0.300327748093116,100,0.309846665922512,112
"71","B","LGALS9","CD8 T","CD44",0.0303666704739007,115,75,0.340114084078669,50,0.756539765973489,260,0.354974139431009,66,0.370576566542733,84
"72","CD8 T","TCTN3","B","FCRL1",0.0314243621883033,151,79.5,0.537736644267039,13,0.617728031285654,432,0.326788582059852,85,0.392684670072213,74
"73","CD8 T","ST6GAL1","B","CD22",0.0314243621883033,160.75,79,0.390455872521848,32,0.595441406163019,453,0.34621927659294,73,0.369273591270936,85
"74","CD8 T","LTB","NK","TNFRSF1A",0.0318763744085222,169,173,0.243583647424203,133,0.810781318841324,178,0.156991945362637,197,0.227302122870249,168
"75","NK","ANXA1","B","FPR1",0.0325053411082227,137.75,84.5,0.327684229464865,56,0.704130234247882,326,0.325889402232638,86,0.373866701465431,83
"76","B","ITGA4","B","CD82",0.0325053411082227,142.5,79,0.314143707186879,64,0.690189576253765,348,0.348816735904134,72,0.365974046357653,86
"77","CD8 T","CD2","B","CD53",0.0331975011692647,125.5,119,0.192760191106334,198,0.883126293102298,66,0.334781850065599,82,0.248097080144975,156
"78","CD8 T","CD59","CD8 T","CD2",0.0347379873952539,112.75,81.5,0.287762283332399,88,0.771023167826413,241,0.44756231926618,47,0.38919377280865,75
"79","CD8 T","ICAM3","NK","ITGB2",0.0358900642897681,118.25,84.5,0.173578761874593,239,0.872738232486608,80,0.356957550092495,65,0.356915117027703,89
"80","NK","SRGN","B","CD44",0.0370662474446043,128.25,89,0.160500892227173,272,0.870088761628906,88,0.319424910564525,90,0.414386051076267,63
"81","NK","CD244","B","CD48",0.0374080701181027,135.25,135.5,0.311763831069842,66,0.795453002337013,204,0.239106505400368,132,0.288774187485478,139
"82","CD8 T","CD81","B","CD37",0.0374080701181027,128.25,126.5,0.188694469141641,204,0.813968119168266,173,0.339226086344996,80,0.42253986177248,56
"83","NK","HMGB1","NK","HAVCR2",0.03814697265625,115.75,100.5,0.32559544808163,57,0.795131111551444,205,0.271553720844123,111,0.354544495137212,90
