"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"648","CD8 T","CD8 T","CD2","CD2","CD53","CD53",0.755016656346021,-0.141585199558304,0.306715728393858
"649","CD8 T","CD8 T","HLA-DRB1","HLA-DRB1","CD37","CD37",-0.559366954867115,-0.582857021864478,-0.571111988365797
"650","CD8 T","CD8 T","ADRB2","ADRB2","SLC52A2","SLC52A2",0.0451710668741291,-0.106522325705392,-0.0306756294156314
"651","CD8 T","CD8 T","TGOLN2","TGOLN2","BTN3A1","BTN3A1",-0.0833610405265834,0.123961252905695,0.0203001061895558
"652","CD8 T","CD8 T","PRNP","PRNP","TNFRSF25","TNFRSF25",0.213017856798511,0.216776990012857,0.214897423405684
"653","CD8 T","CD8 T","CASP8","CASP8","FAS","FAS",-0.102840056998682,0.108625663461976,0.00289280323164708
"654","CD8 T","CD8 T","PTPRC","PTPRC","DPP4","DPP4",0.193373636708764,0.264671480834911,0.229022558771838
"655","CD8 T","CD8 T","CD47","CD47","HLA-C","HLA-C",-0.299773747156801,0.0151101817447112,-0.142331782706045
"656","CD8 T","CD8 T","ADRB2","ADRB2","CCR7","CCR7",0.0451710668741291,0.0670843410142079,0.0561277039441685
"657","CD8 T","CD8 T","ITGA4","ITGA4","CD81","CD81",0.12049512344659,0.0147322234619844,0.067613673454287
"658","CD8 T","CD8 T","HLA-DRA","HLA-DRA","CD63","CD63",-1.01941083287418,-0.445048948739523,-0.732229890806853
"659","CD8 T","CD8 T","LGALS3","LGALS3","ANXA2","ANXA2",0.331574526531474,0.0709207257720694,0.201247626151772
"660","CD8 T","CD8 T","SRGN","SRGN","CD44","CD44",-0.104075162653486,0.37297406770763,0.134449452527072
"661","CD8 T","CD8 T","CD53","CD53","CD37","CD37",-0.141585199558304,-0.582857021864478,-0.362221110711391
"662","CD8 T","CD8 T","HLA-DRA","HLA-DRA","CD37","CD37",-1.01941083287418,-0.582857021864478,-0.801133927369331
"663","CD8 T","CD8 T","CD320","CD320","TMEM167A","TMEM167A",0.125226626187811,-0.0642083250108457,0.0305091505884829
"664","CD8 T","CD8 T","HLA-DRB1","HLA-DRB1","CD53","CD53",-0.559366954867115,-0.141585199558304,-0.35047607721271
"665","CD8 T","CD8 T","HLA-DRA","HLA-DRA","CD81","CD81",-1.01941083287418,0.0147322234619844,-0.502339304706099
