"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"162","B","TNFSF12","CD8 T","TNFRSF25",1,133.5,126,0.109223052374366,133,0.513811555096476,169,0.06651465953236,113,0.0359155685204516,119
"163","CD8 T","TGFB1","CD8 T","TGFBR2",1,174.5,170.5,0.105086618190733,136,0.547771365595473,153,-0.105715722239088,188,NA,221
"164","CD8 T","TGFB1","CD8 T","TGFBR2",1,178.75,179,0.105086618190733,136,0.547771365595473,153,-0.193089923288498,205,NA,221
"165","CD8 T","TGFB1","CD8 T","TGFBR2",1,184,189.5,0.105086618190733,136,0,191,-0.105715722239088,188,NA,221
"166","CD8 T","TGFB1","CD8 T","TGFBR2",1,187.75,188.5,0,189,0.547771365595473,153,-0.105715722239088,188,NA,221
"167","CD8 T","TGFB1","CD8 T","TGFBR2",1,188.25,198,0.105086618190733,136,0,191,-0.193089923288498,205,NA,221
"168","CD8 T","TGFB1","CD8 T","TGFBR2",1,192,197,0,189,0.547771365595473,153,-0.193089923288498,205,NA,221
"169","CD8 T","TGFB1","CD8 T","TGFBR2",1,197.25,190,0,189,0,191,-0.105715722239088,188,NA,221
"170","CD8 T","TGFB1","CD8 T","TGFBR2",1,201.5,198,0,189,0,191,-0.193089923288498,205,NA,221
"171","CD8 T","MIF","B","TNFRSF14",1,122.25,138,0.104313455876496,137,0.777344242769733,55,-0.0139826354623195,158,-0.0349836785650166,139
"172","NK","GRN","NK","TNFRSF1B",1,143.25,139.5,0.101671145883096,138,0.578130489419094,141,-0.0193726673506735,159,-0.0163941105036367,135
"173","B","TNFSF12","NK","TNFRSF25",1,146.75,142,0.0983456896895067,141,0.500702140934129,173,0.018255047919781,143,0.00773414089087811,130
"174","CD8 T","HLA-E","CD8 T","KLRC1",1,114.25,133.5,0.0965144932165848,144,0.810788505467331,34,-0.012200052279746,156,0.0284506767871026,123
"175","NK","GRN","CD8 T","TNFRSF1A",1,154,150.5,0.0949583530812292,147,0.479355871351738,177,-0.0088187164427045,154,-0.0322104807496962,138
"176","NK","FAM3C","B","CLEC2D",1,159.25,158.5,0.0943906021780404,148,0.467075800082919,184,-0.0420825169001872,169,-0.0200866468171565,136
"177","CD8 T","SELL","NK","SELPLG",1,146.5,153.5,0.0932670066201844,149,0.73539738407827,75,-0.182312534693995,204,-0.155754774694425,158
"178","B","MIF","B","TNFRSF14",1,134.5,149,0.0927539730082091,150,0.767014858021358,60,-0.0801946279046678,180,-0.09748164747271,148
"179","NK","FAM3C","CD8 T","CLEC2D",1,158.25,155.5,0.0918367832645964,151,0.46366368453122,185,-0.0231425329466945,160,-0.0263548550757744,137
"180","B","BAG6","B","NCR3",1,147.5,140,0.0893655665391381,152,0.625403774110447,117,-0.117751108684847,193,0.0102005209219078,128
"181","CD8 T","GRN","CD8 T","TNFRSF1B",1,146.5,150,0.0851601388767159,153,0.556383786953904,148,0.00538214600330228,152,-0.0099059979394833,133
"182","CD8 T","IFNG","NK","IFNGR1",1,159.25,161,0.0845226615798031,154,0.483425219459622,175,-0.0368089318013113,168,-0.0475888992844179,140
"183","NK","MIF","CD8 T","TNFRSF14",1,129.25,143,0.0836207279753042,155,0.757624910128131,64,-0.0307751696701833,167,0.00308997041892015,131
"184","B","HLA-E","CD8 T","KLRC1",1,138.75,162,0.0832790467292425,156,0.799214745397518,42,-0.111511183858405,189,-0.261757268333739,168
