"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"359","B","GRN","CD8 T","TNFRSF1B",0.406151872779591,390.75,303,0.224416447111923,248,0.670618443967632,709,0.204691122232835,285,0.20768966366382,321
"360","CD8 T","IL2RB","CD8 T","IL2RG",0.408372244458621,474.75,473.5,0.117829256402666,563,0.814933097061656,389,0.0796080803410382,445,0.0843011550766729,502
"361","CD8 T","ITGA4","B","ADAM28",0.409552412159558,374,286,0.468675147148198,41,0.541665658504605,883,0.169429589558988,321,0.294355705156831,251
"362","CD8 T","IL2RG","CD8 T","IL2RB",0.411281385196918,474.75,473.5,0.117829256402666,563,0.814933097061656,389,0.0796080803410382,445,0.0843011550766729,502
"363","CD8 T","FAM3C","NK","LAMP1",0.41296906565453,405.5,322.5,0.194120833846479,322,0.677395779571305,700,0.211602589436706,277,0.205629664928395,323
"364","B","TGFB1","CD8 T","CXCR4",0.426060922355669,415.5,372,0.116582846731556,569,0.821137142488588,366,0.140911493362095,349,0.164555441351373,378
"365","NK","TNFRSF14","CD8 T","CD160",0.426796871999011,370.5,293.5,0.219200561716872,260,0.707957205046061,639,0.232732167847732,256,0.203573593710563,327
"366","CD8 T","CD160","NK","TNFRSF14",0.430294131919185,370.5,293.5,0.219200561716872,260,0.707957205046061,639,0.232732167847732,256,0.203573593710563,327
"367","B","CD28","NK","CD247",0.430294131919185,313.75,242,0.192262777560507,328,0.704884139771339,645,0.400008315737623,126,0.388609481553171,156
"368","B","IL4R","NK","IL2RG",0.432082891533557,370.25,346,0.242188042805255,218,0.740714158817354,571,0.13512403829878,354,0.198272187111045,338
"369","NK","SIGLEC7","CD8 T","CD320",0.433807518245852,390.25,308,0.436231025686676,48,0.53354043596501,897,0.16450237146113,329,0.251354151203443,287
"370","B","IFNAR1","CD8 T","IFNGR1",0.437337032003303,412,326.5,0.260791663864109,178,0.592904874692802,817,0.169208327034241,323,0.203016785142633,330
