"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"52","B","B","CD22","CD22","PTPRC","PTPRC",0.554265365533974,0.761533411345825,0.199056328661466,0.765469004186124
"53","B","B","TNFRSF1B","TNFRSF1B","TRAF2","TRAF2",0.215719706431801,0.168244428119976,0.199056328661466,0.48902952022011
"54","B","B","NT5E","NT5E","FCRL1","FCRL1",0.164162547640568,0.327446834668601,0.199056328661466,0.538052166693478
"55","B","B","IL4R","IL4R","IL2RG","IL2RG",0.225549287493566,1.05806193300126,0.199056328661466,0.710492787003584
"56","B","B","CD40","CD40","TRAF2","TRAF2",0.685959760600616,0.168244428119976,0.199056328661466,0.630539173320311
"57","B","B","CD82","CD82","ITGB2","ITGB2",0.74625170437508,0.760072642284877,0.199056328661466,0.790948237306413
"58","B","B","CD82","CD82","CD37","CD37",0.74625170437508,2.89902653133643,0.199056328661466,0.880797998918356
"59","B","B","CALR","CALR","HLA-F","HLA-F",0.571057825365127,0.789576504544845,0.199056328661466,0.771342236766389
"60","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,0.760072642284877,0.199056328661466,0.810555993431426
"61","B","B","FCGRT","FCGRT","IGFLR1","IGFLR1",0.298984981614477,0.234758788471451,0.199056328661466,0.570989176499438
"62","B","B","CD81","CD81","CD37","CD37",0.274033491965373,2.89902653133643,0.199056328661466,0.817440573621201
"63","B","B","CXCR4","CXCR4","CCR7","CCR7",1.32766130682417,0.236050480116875,0.199056328661466,0.737694925449362
"64","B","B","TNFRSF17","TNFRSF17","LY9","LY9",0.404739324486022,0.171159568024066,0.199056328661466,0.569382422451827
"65","B","B","IL10RB","IL10RB","IFNAR1","IFNAR1",0.10230704854623,0.268825761334954,0.199056328661466,0.45448464209124
"66","B","B","IL10RB","IL10RB","IL10RA","IL10RA",0.10230704854623,0.139167457213665,0.199056328661466,0.37478112734599
"67","B","B","CD47","CD47","HLA-C","HLA-C",0.660883773505572,3.48661807632961,0.199056328661466,0.884069510487503
"68","B","B","TRAF2","TRAF2","TNFRSF1B","TNFRSF1B",0.168244428119976,0.215719706431801,0.199056328661466,0.48902952022011
"69","B","B","SELPLG","SELPLG","ITGB2","ITGB2",0.177682740845203,0.760072642284877,0.199056328661466,0.648651951369691
"70","B","B","SELPLG","SELPLG","ITGAM","ITGAM",0.177682740845203,0.139321883774479,0.199056328661466,0.441470914161369
"71","B","B","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.30654727375117,0.199056328661466,0.707647038830326
"72","B","B","TNFRSF14","TNFRSF14","TRAF5","TRAF5",0.471659436820677,0.395043419187008,0.199056328661466,0.684393874434334
