"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"148","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.19599434627956,0.315549763282282,0.0597777085013612
"149","B","NK","CD28","CD28","CD247","CD247",-0.0228405104882825,0.822857141963529,0.400008315737623
"150","B","NK","CD28","CD28","CD86","CD86",-0.0228405104882825,0.124794238338315,0.0509768639250162
"151","B","NK","MS4A1","MS4A1","CD53","CD53",1.49719704132246,0.226200994253961,0.86169901778821
"152","B","NK","MS4A1","MS4A1","CD82","CD82",1.49719704132246,-0.173701785359396,0.661747627981531
"153","B","NK","ICAM2","ICAM2","ITGB2","ITGB2",0.0971006361989291,0.751345154924872,0.424222895561901
"154","B","NK","ICAM2","ICAM2","ITGAM","ITGAM",0.0971006361989291,0.15457750713191,0.12583907166542
"155","B","NK","ICAM2","ICAM2","ITGAL","ITGAL",0.0971006361989291,0.114007585961208,0.105554111080069
"156","B","NK","ITGA4","ITGA4","CD82","CD82",0.0989588894499486,-0.173701785359396,-0.0373714479547238
"157","B","NK","HLA-E","HLA-E","CD8A","CD8A",-0.176325588334071,-0.247224236528611,-0.211774912431341
"158","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",-0.176325588334071,0.593385859969333,0.208530135817631
"159","B","NK","HLA-E","HLA-E","KLRD1","KLRD1",-0.176325588334071,0.941411595541444,0.382543003603687
"160","B","NK","SELL","SELL","SELPLG","SELPLG",0.0610580784134369,0.20399712582715,0.132527602120293
"161","B","NK","CD99","CD99","PILRB","PILRB",-0.476932924809746,0.103859364384399,-0.186536780212674
"162","B","NK","IFNAR1","IFNAR1","IFNGR1","IFNGR1",0.168238703131746,-0.0260172040226337,0.0711107495545559
"163","B","NK","CD53","CD53","CD37","CD37",-0.0836501433840584,-0.197682807767894,-0.140666475575976
"164","B","NK","CD22","CD22","PTPRC","PTPRC",0.571871257039852,0.199362238129422,0.385616747584637
"165","B","NK","TNFRSF1B","TNFRSF1B","TNFRSF1A","TNFRSF1A",-0.2103751695628,0.266829288843451,0.0282270596403254
"166","B","NK","IL4R","IL4R","IL2RG","IL2RG",0.209947695331732,0.0603003812658287,0.13512403829878
"167","B","NK","CD82","CD82","ITGB2","ITGB2",0.59568487492316,0.751345154924872,0.673515014924016
"168","B","NK","CD82","CD82","CD37","CD37",0.59568487492316,-0.197682807767894,0.199001033577633
"169","B","NK","CALR","CALR","HLA-F","HLA-F",-0.354627017670085,-0.0596847558363558,-0.20715588675322
"170","B","NK","HLA-F","HLA-F","KIR3DL2","KIR3DL2",0.0343181555275979,0.205245753977913,0.119781954752755
"171","B","NK","IL2RG","IL2RG","IL2RB","IL2RB",-0.274337484849927,0.80079783328172,0.263230174215896
"172","B","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.0970697208936216,0.751345154924872,0.424207437909247
"173","B","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.0970697208936216,0.114007585961208,0.105538653427415
"174","B","NK","CD79B","CD79B","CD244","CD244",1.30260908242339,0.450270880147591,0.876439981285489
"175","B","NK","FCGRT","FCGRT","IGFLR1","IGFLR1",0.208562766275421,0.0823167932702432,0.145439779772832
"176","B","NK","CD81","CD81","CD37","CD37",0.0655443849408498,-0.197682807767894,-0.0660692114135221
"177","B","NK","TNFRSF17","TNFRSF17","LY9","LY9",0.501696995251159,-0.0363532533834212,0.232671870933869
"178","B","NK","IL10RB","IL10RB","IL10RA","IL10RA",0.00575222093984679,0.0656402807767191,0.0356962508582829
"179","B","NK","CD47","CD47","HLA-C","HLA-C",-0.0163071461060482,0.172017044518062,0.0778549492060067
"180","B","NK","CLEC2D","CLEC2D","KLRB1","KLRB1",0.0498648031086591,0.0358189085260763,0.0428418558173677
"181","B","NK","TRAF2","TRAF2","TNFRSF1B","TNFRSF1B",0.182094809123666,0.0038558037737445,0.0929753064487053
"182","B","NK","SELPLG","SELPLG","ITGB2","ITGB2",-0.182781026124427,0.751345154924872,0.284282064400222
"183","B","NK","SELPLG","SELPLG","ITGAM","ITGAM",-0.182781026124427,0.15457750713191,-0.0141017594962585
"184","B","NK","SELPLG","SELPLG","SELL","SELL",-0.182781026124427,0.492257515900749,0.154738244888161
"185","B","NK","TNFRSF14","TNFRSF14","TRAF5","TRAF5",0.0194054666428981,-0.106294625328896,-0.0434445793429988
