"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"52","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.374319606450614,0.320318092325787,0.199056328661466,0.634976075689551
"53","B","NK","TNFRSF14","TNFRSF14","CD160","CD160",0.471659436820677,0.392220447314644,0.199056328661466,0.683618830329881
"54","B","NK","GRN","GRN","TNFRSF1B","TNFRSF1B",0.37397282069396,0.348430685292759,0.199056328661466,0.644562731193861
"55","B","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.954335724036847,0.251222995315255,0.199056328661466,0.710968080243627
"56","B","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,2.20648250147255,0.199056328661466,0.87937208274816
"57","B","NK","LGALS1","LGALS1","PTPRC","PTPRC",0.611329574820841,1.32853032426019,0.199056328661466,0.819082629674179
"58","B","NK","TIMP1","TIMP1","CD63","CD63",0.137708812926166,2.07762185697321,0.199056328661466,0.728786096926508
"59","B","NK","CLEC2B","CLEC2B","KLRF1","KLRF1",0.150951398034877,0.505093519346323,0.199056328661466,0.581093253259544
"60","B","NK","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.76184856458229,0.199056328661466,0.737588343117485
"61","B","NK","HLA-E","HLA-E","KLRD1","KLRD1",2.49940506611986,1.2213122175345,0.199056328661466,0.897721163328375
"62","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.642471081440022,0.199056328661466,0.864241780730991
"63","B","NK","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.425514216912607,0.199056328661466,0.667215141479826
"64","B","NK","ICAM2","ICAM2","ITGAM","ITGAM",0.534134895138124,0.234815856249862,0.199056328661466,0.640178086815785
"65","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",2.96262657253701,0.327631764490504,0.199056328661466,0.831916761515171
"66","B","NK","CLEC2D","CLEC2D","KLRB1","KLRB1",0.209066849841072,0.254202005013875,0.199056328661466,0.536635180826551
"67","B","NK","HLA-B","HLA-B","CANX","CANX",2.91367368215144,0.423079387823194,0.199056328661466,0.847971248854126
"68","B","NK","B2M","B2M","HLA-F","HLA-F",5.08030092207413,0.711714099875384,0.199056328661466,0.905236608582442
"69","B","NK","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.264592629599535,0.199056328661466,0.589079383338767
"70","B","NK","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.217274440821294,0.199056328661466,0.808940530255229
"71","B","NK","HLA-B","HLA-B","KIR3DL2","KIR3DL2",2.91367368215144,0.182113235170343,0.199056328661466,0.785382163171636
"72","B","NK","HLA-B","HLA-B","KIR2DL3","KIR2DL3",2.91367368215144,0.258151009290912,0.199056328661466,0.81332619477969
"73","B","NK","ICAM2","ICAM2","ITGAL","ITGAL",0.534134895138124,0.251222995315255,0.199056328661466,0.647919553629352
"74","B","NK","CD59","CD59","CD2","CD2",0.1898219513316,0.729939927646468,0.199056328661466,0.651567515866416
"75","B","NK","HLA-B","HLA-B","KLRD1","KLRD1",2.91367368215144,1.2213122175345,0.199056328661466,0.904550232874158
"76","B","NK","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,2.20648250147255,0.199056328661466,0.845052684616485
"77","B","NK","VIM","VIM","CD44","CD44",2.02913858438351,0.425514216912607,0.199056328661466,0.823572950250342
"78","B","NK","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.815942968261378,0.199056328661466,0.745316286505998
"79","B","NK","CD22","CD22","PTPRC","PTPRC",0.554265365533974,1.32853032426019,0.199056328661466,0.811708231942068
"80","B","NK","HLA-F","HLA-F","KIR3DL2","KIR3DL2",0.789576504544845,0.182113235170343,0.199056328661466,0.655764305981241
"81","B","NK","CD99","CD99","PILRB","PILRB",0.963961662169009,0.273160727957553,0.199056328661466,0.72050503054847
"82","B","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.27507301748237,0.290100016839441,0.199056328661466,0.586628084249706
"83","B","NK","YBX1","YBX1","NOTCH1","NOTCH1",2.14635154339254,0.136564891325529,0.199056328661466,0.731171510561051
"84","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",0.415304167091577,0.21085677859872,0.199056328661466,0.597848216106669
"85","B","CD8 T","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.327414437002168,0.199056328661466,0.66839403704439
"86","B","CD8 T","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.308531709927766,0.199056328661466,0.529098227789654
"87","B","CD8 T","GNAS","GNAS","ADRB2","ADRB2",0.734176766623014,0.157475075583313,0.199056328661466,0.63074650675248
"88","B","CD8 T","MIF","MIF","CXCR4","CXCR4",0.910488685785623,2.01083647943994,0.199056328661466,0.871753882639508
"89","B","CD8 T","MIF","MIF","CD74","CD74",0.910488685785623,2.35808831742312,0.199056328661466,0.880398173351262
"90","B","CD8 T","GRN","GRN","TNFRSF1A","TNFRSF1A",0.37397282069396,0.157273328330124,0.199056328661466,0.549214222066007
"91","B","CD8 T","GNAS","GNAS","PTGDR","PTGDR",0.734176766623014,0.154508872030404,0.199056328661466,0.628529340837688
"92","B","CD8 T","CD2","CD2","CD48","CD48",0.163910940299779,1.72764494619042,0.199056328661466,0.727768659724682
"93","B","CD8 T","CD48","CD48","CD2","CD2",1.54599795581421,1.46083169262766,0.199056328661466,0.883036561648679
"94","B","CD8 T","LGALS1","LGALS1","CD69","CD69",0.611329574820841,0.649958157863072,0.199056328661466,0.76000086621214
"95","B","CD8 T","TNFRSF14","TNFRSF14","CD160","CD160",0.471659436820677,0.353622781658967,0.199056328661466,0.672311019436763
"96","B","CD8 T","CD47","CD47","SIRPG","SIRPG",0.660883773505572,0.326672902590348,0.199056328661466,0.700080419126572
"97","B","CD8 T","GRN","GRN","TNFRSF1B","TNFRSF1B",0.37397282069396,0.439202064711186,0.199056328661466,0.670618443967632
"98","B","CD8 T","ICAM3","ICAM3","ITGAL","ITGAL",0.954335724036847,0.253758341654867,0.199056328661466,0.711998705660993
"99","B","CD8 T","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,1.10399367841308,0.199056328661466,0.837570947602674
"100","B","CD8 T","LGALS1","LGALS1","ITGB1","ITGB1",0.611329574820841,0.188772525439238,0.199056328661466,0.630532431197227
"101","B","CD8 T","LGALS1","LGALS1","PTPRC","PTPRC",0.611329574820841,1.31921126138653,0.199056328661466,0.818560481235685
"102","B","CD8 T","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.626077291096735,0.199056328661466,0.595974473209397
"103","B","CD8 T","SELPLG","SELPLG","SELL","SELL",0.177682740845203,0.726658286741193,0.199056328661466,0.643512007035788
"104","B","CD8 T","ADAM28","ADAM28","ITGA4","ITGA4",0.186510841753175,0.296719237689547,0.199056328661466,0.541665658504605
"105","B","CD8 T","HLA-E","HLA-E","KLRD1","KLRD1",2.49940506611986,0.330485327136156,0.199056328661466,0.820331831888797
"106","B","CD8 T","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.251176311438171,0.199056328661466,0.799214745397518
"107","B","CD8 T","LGALS9","LGALS9","CD44","CD44",0.374319606450614,1.02215523036448,0.199056328661466,0.756539765973489
"108","B","CD8 T","LTB","LTB","TNFRSF1A","TNFRSF1A",2.96262657253701,0.157273328330124,0.199056328661466,0.774224463148971
"109","B","CD8 T","CLEC2D","CLEC2D","KLRB1","KLRB1",0.209066849841072,0.392018559553235,0.199056328661466,0.589861722855573
"110","B","CD8 T","HLA-B","HLA-B","CANX","CANX",2.91367368215144,0.309277805498414,0.199056328661466,0.826656935408814
"111","B","CD8 T","B2M","B2M","HLA-F","HLA-F",5.08030092207413,0.762632253040268,0.199056328661466,0.908159197012684
"112","B","CD8 T","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.305588019378849,0.199056328661466,0.606395097786153
"113","B","CD8 T","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.161235811414212,0.199056328661466,0.784822450509259
"114","B","CD8 T","ICAM2","ICAM2","ITGAL","ITGAL",0.534134895138124,0.253758341654867,0.199056328661466,0.649064025921012
"115","B","CD8 T","CD59","CD59","CD2","CD2",0.1898219513316,1.46083169262766,0.199056328661466,0.72568441698074
"116","B","CD8 T","HLA-B","HLA-B","KLRD1","KLRD1",2.91367368215144,0.330485327136156,0.199056328661466,0.831357425630467
"117","B","CD8 T","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,1.10399367841308,0.199056328661466,0.794142889509624
"118","B","CD8 T","VIM","VIM","CD44","CD44",2.02913858438351,1.02215523036448,0.199056328661466,0.878567031971259
"119","B","CD8 T","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.962098965353915,0.199056328661466,0.760636573144361
"120","B","CD8 T","CD22","CD22","PTPRC","PTPRC",0.554265365533974,1.31921126138653,0.199056328661466,0.811169706779846
"121","B","CD8 T","CD99","CD99","PILRB","PILRB",0.963961662169009,0.325406271179467,0.199056328661466,0.73778257711491
"122","NK","B","IFNG","IFNG","IFNGR1","IFNGR1",0.470846318282549,0.125198274575497,0.199056328661466,0.549494225860438
"123","NK","B","FASLG","FASLG","FAS","FAS",0.27283150035115,0.117997956108831,0.199056328661466,0.474066543608995
"124","NK","B","CD86","CD86","CD28","CD28",0.152487467483942,0.116665254727136,0.199056328661466,0.401218099949677
"125","NK","B","IFNG","IFNG","IFNGR2","IFNGR2",0.470846318282549,0.22253843403016,0.199056328661466,0.61921743087233
"126","NK","B","CCL5","CCL5","CXCR3","CXCR3",2.50336773982058,0.118578093468527,0.199056328661466,0.732411887107032
"127","NK","B","ANXA1","ANXA1","FPR1","FPR1",2.1121373119575,0.106251394941705,0.199056328661466,0.704130234247882
"128","NK","B","MIF","MIF","CXCR4","CXCR4",1.31632677078381,1.32766130682417,0.199056328661466,0.869131277531388
"129","NK","B","MIF","MIF","CD74","CD74",1.31632677078381,4.53114927048177,0.199056328661466,0.92463651255082
"130","NK","B","CD2","CD2","CD48","CD48",0.729939927646468,1.54599795581421,0.199056328661466,0.842188918923412
"131","NK","B","CD48","CD48","CD2","CD2",1.2284932202849,0.163910940299779,0.199056328661466,0.692715554834196
"132","NK","B","CD244","CD244","CD48","CD48",0.387601899198962,1.54599795581421,0.199056328661466,0.795453002337013
"133","NK","B","CD58","CD58","CD2","CD2",0.207224324885753,0.163910940299779,0.199056328661466,0.480753195880698
"134","NK","B","LGALS1","LGALS1","CD69","CD69",2.09439999888998,1.0644346189095,0.199056328661466,0.882365383335376
"135","NK","B","SEMA4D","SEMA4D","CD72","CD72",0.200966848869355,0.377493402303649,0.199056328661466,0.580483540124322
"136","NK","B","CD160","CD160","TNFRSF14","TNFRSF14",0.392220447314644,0.471659436820677,0.199056328661466,0.683618830329881
"137","NK","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.21356547886922,0.215719706431801,0.199056328661466,0.518834546576457
"138","NK","B","ICAM3","ICAM3","ITGB2","ITGB2",0.838508767564103,0.760072642284877,0.199056328661466,0.800421637305175
"139","NK","B","LGALS1","LGALS1","ITGB1","ITGB1",2.09439999888998,0.155683292441036,0.199056328661466,0.741510689706072
"140","NK","B","LGALS1","LGALS1","PTPRC","PTPRC",2.09439999888998,0.761533411345825,0.199056328661466,0.86384393740651
"141","NK","B","TIMP1","TIMP1","CD63","CD63",0.366608914499595,0.48357702176794,0.199056328661466,0.678996791532623
"142","NK","B","KLRF1","KLRF1","CLEC2B","CLEC2B",0.505093519346323,0.150951398034877,0.199056328661466,0.581093253259544
"143","NK","B","SELPLG","SELPLG","SELL","SELL",0.421189604392454,1.30654727375117,0.199056328661466,0.788436276394561
"144","NK","B","GNAI2","GNAI2","FPR1","FPR1",0.570835281855508,0.106251394941705,0.199056328661466,0.553016577948022
"145","NK","B","ICAM2","ICAM2","ITGAM","ITGAM",0.459545030143938,0.139321883774479,0.199056328661466,0.559694946693663
"146","NK","B","KLRB1","KLRB1","CLEC2D","CLEC2D",0.254202005013875,0.209066849841072,0.199056328661466,0.536635180826551
"147","NK","B","HLA-B","HLA-B","CANX","CANX",3.60848931769051,0.359646316820364,0.199056328661466,0.851257108171707
"148","NK","B","B2M","B2M","HLA-F","HLA-F",5.81070168823614,0.789576504544845,0.199056328661466,0.91497013129231
"149","NK","B","LRPAP1","LRPAP1","SORL1","SORL1",0.412413305359203,0.12750279780292,0.199056328661466,0.53531468063049
"150","NK","B","HLA-A","HLA-A","APLP2","APLP2",3.92010525050694,0.248975775464901,0.199056328661466,0.832301474769127
"151","NK","B","CD59","CD59","CD2","CD2",0.165673276888243,0.163910940299779,0.199056328661466,0.452910615629863
"152","NK","B","LTB","LTB","CD40","CD40",0.976132612922351,0.685959760600616,0.199056328661466,0.80433642120776
"153","NK","B","SPON2","SPON2","ITGB2","ITGB2",1.6151430220959,0.760072642284877,0.199056328661466,0.84770439176794
"154","NK","B","ICAM2","ICAM2","ITGB2","ITGB2",0.459545030143938,0.760072642284877,0.199056328661466,0.748049710525832
"155","NK","B","VIM","VIM","CD44","CD44",0.986986404279211,0.655390474380009,0.199056328661466,0.801604986503933
"156","NK","B","SPON2","SPON2","ITGAM","ITGAM",1.6151430220959,0.139321883774479,0.199056328661466,0.704411628498931
"157","NK","B","PTPRC","PTPRC","CD22","CD22",1.32853032426019,0.554265365533974,0.199056328661466,0.811708231942068
"158","NK","B","CD52","CD52","SIGLEC10","SIGLEC10",1.7281663321465,0.190869862035322,0.199056328661466,0.742617190011923
"159","NK","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.266159606718314,0.223981345070093,0.199056328661466,0.550883644494435
"160","NK","B","SPON2","SPON2","ITGA4","ITGA4",1.6151430220959,0.263518666424227,0.199056328661466,0.766215489946019
"161","NK","B","SPON2","SPON2","ITGB1","ITGB1",1.6151430220959,0.155683292441036,0.199056328661466,0.715838823635983
"162","NK","NK","IFNG","IFNG","IFNGR1","IFNGR1",0.470846318282549,0.194453137051598,0.199056328661466,0.603189753024778
"163","NK","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.931933919326705,0.189355420774789,0.199056328661466,0.678493252383585
"164","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.931933919326705,0.234552940157019,0.199056328661466,0.701381217092248
"165","NK","NK","IFNG","IFNG","IFNGR2","IFNGR2",0.470846318282549,0.160541608425798,0.199056328661466,0.580044143706327
"166","NK","NK","CCL5","CCL5","CXCR3","CXCR3",2.50336773982058,0.254680211646446,0.199056328661466,0.800450536998331
"167","NK","NK","GNAS","GNAS","ADRB2","ADRB2",0.694354215587798,0.208359627799299,0.199056328661466,0.656455003398622
"168","NK","NK","MIF","MIF","CXCR4","CXCR4",1.31632677078381,1.07522147794157,0.199056328661466,0.856663885937358
"169","NK","NK","MIF","MIF","CD74","CD74",1.31632677078381,2.18887254872958,0.199056328661466,0.895039455280428
"170","NK","NK","GRN","GRN","TNFRSF1A","TNFRSF1A",0.21356547886922,0.327631764490504,0.199056328661466,0.570607227151826
"171","NK","NK","GNAS","GNAS","PTGDR","PTGDR",0.694354215587798,0.825506009432042,0.199056328661466,0.791815143541941
"172","NK","NK","MFNG","MFNG","NOTCH1","NOTCH1",0.399271070764672,0.136564891325529,0.199056328661466,0.539823565276008
"173","NK","NK","CD2","CD2","CD48","CD48",0.729939927646468,1.2284932202849,0.199056328661466,0.826305293665885
"174","NK","NK","CD48","CD48","CD2","CD2",1.2284932202849,0.729939927646468,0.199056328661466,0.826305293665885
"175","NK","NK","CD48","CD48","CD244","CD244",1.2284932202849,0.387601899198962,0.199056328661466,0.776115904490138
"176","NK","NK","CD244","CD244","CD48","CD48",0.387601899198962,1.2284932202849,0.199056328661466,0.776115904490138
"177","NK","NK","CD58","CD58","CD2","CD2",0.207224324885753,0.729939927646468,0.199056328661466,0.661457081756571
"178","NK","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",3.92010525050694,0.182113235170343,0.199056328661466,0.809330126596413
"179","NK","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",4.30320983709084,0.258151009290912,0.199056328661466,0.841141063949268
"180","NK","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",1.86335662329275,0.320318092325787,0.199056328661466,0.795131111551444
"181","NK","NK","LGALS1","LGALS1","CD69","CD69",2.09439999888998,1.06441671175688,0.199056328661466,0.882364510230926
"182","NK","NK","CD160","CD160","TNFRSF14","TNFRSF14",0.392220447314644,0.658465102896479,0.199056328661466,0.718549891247097
"183","NK","NK","TNFRSF14","TNFRSF14","CD160","CD160",0.658465102896479,0.392220447314644,0.199056328661466,0.718549891247097
"184","NK","NK","GRN","GRN","TNFRSF1B","TNFRSF1B",0.21356547886922,0.348430685292759,0.199056328661466,0.578130489419094
"185","NK","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.838508767564103,0.251222995315255,0.199056328661466,0.697494498386584
"186","NK","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.838508767564103,2.20648250147255,0.199056328661466,0.872339259237613
"187","NK","NK","LGALS1","LGALS1","PTPRC","PTPRC",2.09439999888998,1.32853032426019,0.199056328661466,0.893389214211178
"188","NK","NK","TIMP1","TIMP1","CD63","CD63",0.366608914499595,2.07762185697321,0.199056328661466,0.814277799451835
"189","NK","NK","CLEC2B","CLEC2B","KLRF1","KLRF1",0.405087096934493,0.505093519346323,0.199056328661466,0.694413559799148
"190","NK","NK","KLRF1","KLRF1","CLEC2B","CLEC2B",0.505093519346323,0.405087096934493,0.199056328661466,0.694413559799148
"191","NK","NK","SELPLG","SELPLG","SELL","SELL",0.421189604392454,1.76184856458229,0.199056328661466,0.812298223517382
"192","NK","NK","HLA-E","HLA-E","KLRD1","KLRD1",3.0395118502117,1.2213122175345,0.199056328661466,0.906359991353046
"193","NK","NK","HLA-E","HLA-E","KLRC1","KLRC1",3.0395118502117,0.642471081440022,0.199056328661466,0.875315643702142
"194","NK","NK","ICAM2","ICAM2","ITGAM","ITGAM",0.459545030143938,0.234815856249862,0.199056328661466,0.622678196333226
"195","NK","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",0.976132612922351,0.327631764490504,0.199056328661466,0.739651216021976
"196","NK","NK","HLA-B","HLA-B","CANX","CANX",3.60848931769051,0.423079387823194,0.199056328661466,0.861250388713031
"197","NK","NK","B2M","B2M","HLA-F","HLA-F",5.81070168823614,0.711714099875384,0.199056328661466,0.91084356222925
"198","NK","NK","LRPAP1","LRPAP1","SORL1","SORL1",0.412413305359203,0.264592629599535,0.199056328661466,0.623990529914915
"199","NK","NK","HLA-A","HLA-A","APLP2","APLP2",3.92010525050694,0.217274440821294,0.199056328661466,0.822580545510065
"200","NK","NK","HLA-B","HLA-B","KIR3DL2","KIR3DL2",3.60848931769051,0.182113235170343,0.199056328661466,0.802857233158265
"201","NK","NK","HLA-B","HLA-B","KIR2DL3","KIR2DL3",3.60848931769051,0.258151009290912,0.199056328661466,0.829021286146521
"202","NK","NK","ICAM2","ICAM2","ITGAL","ITGAL",0.459545030143938,0.251222995315255,0.199056328661466,0.630578902296733
"203","NK","NK","CD59","CD59","CD2","CD2",0.165673276888243,0.729939927646468,0.199056328661466,0.635966986805851
"204","NK","NK","HLA-B","HLA-B","KLRD1","KLRD1",3.60848931769051,1.2213122175345,0.199056328661466,0.91339216015765
