"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"80","NK","CD99","NK","PILRB",0.100788490445733,118.25,117,0.186943727166875,144,0.789622248867113,151,0.253568025102916,90,0.310868851568118,88
"81","CD8 T","SIRPG","NK","CD47",0.101655899365026,86.75,69.5,0.404952941044915,20,0.738164537073488,188,0.340182129188302,66,0.353960745611597,73
"82","NK","ICAM3","NK","ITGB2",0.105587664523855,87.25,69,0.172337822114863,168,0.872339259237613,43,0.349660182482747,63,0.353502362944202,75
"83","CD8 T","CD52","B","SIGLEC10",0.114815770571935,112.25,114,0.291419836839319,65,0.784271184006367,156,0.140162259548707,142,0.317511198004611,86
"84","CD8 T","HMGB1","NK","HAVCR2",0.117788193491576,120.25,126,0.281668547834506,72,0.783074607911644,157,0.159437795743533,130,0.218310933832979,122
"85","NK","ICAM2","NK","ITGB2",0.120817960233649,86.75,70.5,0.177886366427953,158,0.834947889988324,79,0.377772982908273,48,0.371698839514495,62
"86","NK","B2M","B","HLA-F",0.125153247234879,122,127.5,0.122889807104327,230,0.91497013129231,3,0.0609617759362047,198,0.383480302636359,57
"87","CD8 T","CD99","CD8 T","PILRB",0.130258674818604,151.75,156.5,0.177684555821106,159,0.78537197096903,154,0.153635935351384,133,0.142352764845826,161
"88","NK","CCL5","CD8 T","CXCR3",0.130258674818604,131.25,129,0.177281438117998,161,0.819759899296032,108,0.216037200162278,106,0.168338446408658,150
"89","NK","SPON2","B","ITGB2",0.133525191538548,96.5,85.5,0.17719779192001,162,0.84770439176794,63,0.365510622331642,53,0.259196393065549,108
"90","B","ST6GAL1","B","CD22",0.145240616467104,138,83.5,0.29983931219315,58,0.563276973821917,327,0.2792151636173,83,0.322149638844666,84
"91","NK","IFNG","CD8 T","IFNGR1",0.160215538978937,111.75,80.5,0.358564665699609,31,0.658411033723416,255,0.321636025752985,74,0.311771823552276,87
"92","NK","CD48","CD8 T","CD2",0.161919381770262,112.5,117.5,0.169286356251329,170,0.870632705910604,45,0.25870716882684,87,0.168822201100462,148
"93","CD8 T","CD2","NK","CD48",0.165762998080468,112.5,117.5,0.169286356251329,170,0.870632705910604,45,0.25870716882684,87,0.168822201100462,148
"94","NK","B2M","CD8 T","HLA-F",0.166210864015719,128.25,135,0.118696199707313,239,0.913609729920262,4,0.0573325829207681,203,0.368796568401318,67
"95","CD8 T","HLA-B","NK","KIR3DL2",0.169674641042111,136.75,148.5,0.273500469655828,78,0.794436970768186,146,0.0997225235018157,172,0.166226822468384,151
"96","NK","SELPLG","B","SELL",0.173655108610407,160,161.5,0.167696089694405,173,0.788436276394561,152,0.136175678953445,144,0.127823508629661,171
"97","NK","IFNG","B","IFNGR2",0.181592729728951,120,83,0.372285272724069,26,0.61921743087233,288,0.318256377299527,75,0.304167623648806,91
"98","NK","CD48","NK","CD244",0.190281346902424,150.5,167,0.247736260813902,91,0.776115904490138,160,0.0956109924268186,174,0.1176578465087,177
"99","NK","LGALS3","CD8 T","LAG3",0.192895322562128,121.25,81,0.24736226782677,93,0.634400901793497,273,0.37326352139866,50,0.362162847819157,69
"100","NK","CD244","NK","CD48",0.194618069680215,150.5,167,0.247736260813902,91,0.776115904490138,160,0.0956109924268186,174,0.1176578465087,177
"101","CD8 T","ANXA1","B","FPR1",0.198701832318491,117.75,88,0.297852563997266,60,0.694091560885899,235,0.282186805549136,82,0.29459231559229,94
"102","CD8 T","GNAS","NK","PTGDR",0.203513475900851,136.25,138,0.197218019792065,139,0.751017504851876,180,0.253685652167178,89,0.195298600036065,137
"103","B","EBI3","CD8 T","IL27RA",0.206941330402555,134.25,90.5,0.557014845288908,5,0.529098227789654,351,0.227481283594905,102,0.340885326553808,79
"104","CD8 T","B2M","B","HLA-F",0.206941330402555,159,195.5,0.118432297415892,240,0.913521850931509,5,0.0248776881840835,228,0.138637920275051,163
"105","B","BAG6","NK","NCR3",0.216747672681185,110.5,90.5,0.274571140790716,77,0.745316286505998,184,0.278059750700179,84,0.293796701185925,97
"106","CD8 T","ICAM2","NK","ITGB2",0.222215548545191,109.5,90.5,0.1574142991263,184,0.8263499355768,99,0.324154564514573,73,0.336870395174272,82
"107","B","GRN","NK","TNFRSF1A",0.222973157779979,123.75,95.5,0.346396171194786,35,0.637481297293463,269,0.243057033025545,93,0.292771543653259,98
"108","NK","LGALS1","B","ITGB1",0.232035763922753,94.5,80,0.233508189317853,104,0.741510689706072,186,0.450471754618478,32,0.38659820504009,56
"109","B","PTPRC","B","CD22",0.247371901916709,172,176,0.184108763026257,147,0.765469004186124,171,0.0779604234489232,181,0.101329562697943,189
"110","B","LTB","CD8 T","TNFRSF1A",0.247371901916709,129.5,126.5,0.156008656334514,189,0.774224463148971,163,0.315550235610108,76,0.30632260061694,90
"111","B","CD22","B","PTPRC",0.252648983509324,172,176,0.184108763026257,147,0.765469004186124,171,0.0779604234489232,181,0.101329562697943,189
"112","B","HLA-B","NK","KLRD1",0.255694917568507,99,74,0.234669413570041,103,0.904550232874158,17,0.385208703420216,45,0.0507499933114206,231
"113","B","HMGB1","NK","HAVCR2",0.286106310473819,160.75,173.5,0.241974769187274,100,0.769896293852821,168,0.0834992026249837,179,0.095205847967325,196
"114","CD8 T","B2M","CD8 T","HLA-F",0.287427777235948,164.75,203.5,0.11439080227328,245,0.912140503377007,7,0.021248495168647,233,0.12395418604001,174
"115","B","YBX1","NK","NOTCH1",0.297964080066437,161,158,0.203812203626483,130,0.731171510561051,198,0.104482094760514,169,0.170516087974385,147
"116","CD8 T","CD99","NK","PILRB",0.297964080066437,181.5,181,0.14915644507705,198,0.770253644845114,167,0.108489063968332,166,0.095954609739647,195
"117","B","SEMA4D","B","CD72",0.306031334399199,144,109.5,0.310855242580462,54,0.593146061972944,303,0.214474101322946,110,0.25256855582716,109
"118","NK","IFNG","NK","IFNGR2",0.321395081915018,151.75,104,0.268570580793514,80,0.580044143706327,319,0.242767120619405,96,0.233482736160042,112
"119","NK","B2M","NK","HLA-F",0.327187228671372,143.75,160,0.110771290614244,247,0.91084356222925,8,0.011823470376297,242,0.341047843272129,78
"120","B","CD59","CD8 T","CD2",0.329220828200218,130.75,129.5,0.177613812504537,160,0.72568441698074,203,0.351831892719748,61,0.288980064103599,99
"121","NK","SEMA4D","B","CD72",0.337198630706466,154.25,113,0.280023029774574,73,0.580483540124322,318,0.209175855210267,112,0.231663801680286,114
"122","CD8 T","MIF","CD8 T","CXCR4",0.342388047729401,122,123,0.143505200540483,205,0.878177197692916,37,0.177076091069645,123,0.213709370969274,123
"123","NK","CD160","NK","TNFRSF14",0.34526580458456,130.25,107.5,0.243126141265205,98,0.718549891247097,208,0.236884255375253,100,0.231632524511154,115
"124","NK","HLA-B","NK","CANX",0.349117832769594,112,101,0.143069543844195,206,0.861250388713031,52,0.124741781514016,150,0.417472999796308,40
"125","NK","TNFRSF14","NK","CD160",0.353443469669573,130.25,107.5,0.243126141265205,98,0.718549891247097,208,0.236884255375253,100,0.231632524511154,115
"126","CD8 T","SELPLG","NK","SELL",0.355946341309814,147.5,140,0.142717489963964,207,0.77467193188277,162,0.225361561962142,103,0.224839052499166,118
"127","NK","FASLG","CD8 T","FAS",0.361731777177506,144.75,105,0.492324740890841,9,0.504113245451463,360,0.201307911860094,117,0.294989059325947,93
"128","NK","HLA-A","B","APLP2",0.362874534153276,138.25,129.5,0.141796036581572,208,0.832301474769127,86,0.105627544875169,167,0.295128063436788,92
"129","CD8 T","SEMA4D","B","CD72",0.378640854534145,149.75,115,0.297626792107285,61,0.587888393974214,308,0.198127851965037,119,0.243599445934631,111
"130","B","B2M","B","HLA-F",0.40574723015584,229.75,267.5,0.107442652168767,253,0.90959693574739,10,-0.0586686959841449,282,-0.465002029312138,374
"131","B","LGALS9","B","CD44",0.406591452815222,160.5,154,0.218076006741322,120,0.713323934237617,214,0.119285610745516,156,0.163106574985321,152
"132","NK","CCL5","NK","CXCR3",0.406591452815222,169,163,0.137898849526232,214,0.800450536998331,136,0.140293429510128,141,0.103066431527761,185
"133","B","ICAM3","CD8 T","ITGAL",0.414244729106716,179,174,0.169792176610995,169,0.711998705660993,215,0.119924278073608,153,0.117294638325452,179
"134","CD8 T","HLA-A","B","APLP2",0.414244729106716,161.5,170.5,0.136735687880189,215,0.829750056694761,90,0.0707064556882254,188,0.159709503066277,153
"135","NK","CD59","CD8 T","CD2",0.422005543628005,142.75,147.5,0.15501822698491,191,0.711935228035573,216,0.353501071009241,60,0.268422471172303,104
"136","NK","LGALS1","CD8 T","CD69",0.422005543628005,123.25,110.5,0.136520742368586,216,0.854255762388691,56,0.242609689266972,97,0.210259179995719,124
"137","B","ADAM28","CD8 T","ITGA4",0.422857688455005,143.25,109.5,0.468675147148198,13,0.541665658504605,341,0.172222327832371,124,0.294355705156831,95
