"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"134","CD8 T","CALM2","B","SELL",0.286639800458117,166.25,176,0.132706857039841,238,0.870364583104709,75,0.112237515911143,165,0.120356277470503,187
"135","NK","SELPLG","B","SELL",0.296396882515428,183.5,174,0.167696089694405,165,0.788436276394561,240,0.139942480611173,146,0.127823508629661,183
"136","NK","B2M","B","HLA-F",0.300590532480945,133,132,0.122889807104327,246,0.91497013129231,22,0.0654827223872149,208,0.383480302636359,56
"137","B","CALM2","B","SELL",0.301367791084937,172.75,186.5,0.130342464197853,241,0.869347013085874,77,0.105551334723306,170,0.107176497450688,203
"138","B","ADAM28","B","ITGA4",0.309102092974225,174.25,124,0.416234049144776,15,0.526903726706976,434,0.15405048028562,134,0.26300804002995,114
"139","B","GNAI2","NK","S1PR5",0.309102092974225,159.75,125.5,0.209741453108333,117,0.725117027760787,302,0.243712526421435,86,0.222565673622431,134
"140","NK","SELPLG","NK","ITGAM",0.315414657341133,175.75,125,0.274713468247292,66,0.612386406125937,387,0.180188056699365,115,0.221490825621357,135
"141","NK","CALM1","CD8 T","PTPRA",0.316656181188604,153.75,135.5,0.166240028009272,169,0.779504876667199,244,0.206097696632304,102,0.301233243641596,100
"142","NK","PKM","CD8 T","CD44",0.316656181188604,219.25,224.5,0.124902293152359,244,0.795334686519601,229,0.0881832642807853,184,0.0888227475431091,220
"143","CD8 T","NUCB2","NK","ERAP1",0.321801754567772,183,130.5,0.394885426602071,19,0.473262556061005,452,0.166132377452713,125,0.221404246132656,136
"144","CD8 T","SELPLG","NK","SELL",0.321879265815231,169.75,173,0.142717489963964,215,0.77467193188277,245,0.234075332149116,88,0.224839052499166,131
"145","NK","HLA-A","NK","APLP2",0.321879265815231,186.75,194.5,0.123741574863696,245,0.822580545510065,177,0.0627908065201929,212,0.263307536092146,113
"146","B","LTB","CD8 T","TNFRSF1A",0.327166699661594,152.25,143.5,0.156008656334514,190,0.774224463148971,246,0.301224272243985,76,0.30632260061694,97
"147","NK","HLA-B","B","CANX",0.332519009098024,155.75,156.5,0.121618863914583,247,0.851257108171707,112,0.0726713279126005,201,0.369049377968649,63
"148","NK","CD86","CD8 T","CD28",0.3348,188.25,137.5,0.367034873899134,25,0.471558155047723,453,0.149037305992199,137,0.2202446099323,138
"149","CD8 T","HLA-A","NK","APLP2",0.343420370942785,215,214.5,0.119325545101761,249,0.819913230997346,184,0.0271191102012058,245,0.127888975721635,182
"150","NK","GNAS","NK","ADCY7",0.348097669748179,165.25,127,0.251862612793825,83,0.700883628268977,324,0.181400215456221,114,0.213815250977162,140
"151","B","UBA52","NK","NOTCH1",0.348970486812154,154.5,140.5,0.20860904295965,119,0.771171914693344,250,0.115892772881413,162,0.328606292790317,87
"152","NK","B2M","CD8 T","HLA-F",0.354587605193664,139.5,141.5,0.118696199707313,251,0.913609729920262,24,0.052586179228816,219,0.368796568401318,64
