"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"57","B","NK","SELPLG","SELPLG","ITGAM","ITGAM",-0.178785944796187,0.227952023170098,0.0245830391869552
"58","B","NK","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,0.485921788274762,0.153567921739288
"59","B","NK","SELPLG","SELPLG","ITGB2","ITGB2",-0.178785944796187,0.752926018397243,0.287070036800528
"60","B","NK","LYZ","LYZ","ITGAL","ITGAL",0.0980159620538164,0.144412410890431,0.121214186472124
"61","B","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",-0.11699182378592,0.132460105567676,0.00773414089087811
"62","B","NK","GNAI2","GNAI2","S1PR5","S1PR5",-0.0171793206010794,0.462310667845941,0.222565673622431
"63","B","NK","GNAI2","GNAI2","CXCR3","CXCR3",-0.0171793206010794,0.0379110844817353,0.0103658819403279
"64","B","NK","GNAI2","GNAI2","ADCY7","ADCY7",-0.0171793206010794,0.339740675733056,0.161280677565988
"65","B","NK","PKM","PKM","CD44","CD44",-0.0877324358612182,-0.311693946272449,-0.199713191066833
"66","B","NK","CALM1","CALM1","PTPRA","PTPRA",-0.532072576245199,0.00414760997499959,-0.2639624831351
"67","B","NK","GNAS","GNAS","ADCY7","ADCY7",0.136094600973003,0.339740675733056,0.237917638353029
"68","B","NK","HLA-C","HLA-C","CD3G","CD3G",-0.862434970519042,-0.106672875178342,-0.484553922848692
"69","B","NK","HLA-E","HLA-E","KLRD1","KLRD1",-0.456533997813046,0.830116326659573,0.186791164423264
"70","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",-0.456533997813046,0.494168965949764,0.0188174840683591
"71","B","NK","HLA-A","HLA-A","CD3G","CD3G",-0.749821290724325,-0.106672875178342,-0.428247082951333
"72","B","NK","HLA-B","HLA-B","CD3G","CD3G",-0.728616340036732,-0.106672875178342,-0.417644607607537
"73","B","NK","ICAM2","ICAM2","ITGAM","ITGAM",0.0887135674169522,0.227952023170098,0.158332795293525
"74","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",0.621584412066401,0.340206550369779,0.48089548121809
"75","B","NK","CALM2","CALM2","SELL","SELL",0.173735605714672,0.485921788274762,0.329828696994717
"76","B","NK","CALM1","CALM1","SELL","SELL",-0.532072576245199,0.485921788274762,-0.0230753939852184
"77","B","NK","CALM3","CALM3","SELL","SELL",-0.0902805206606217,0.485921788274762,0.19782063380707
"78","B","NK","GNAI2","GNAI2","S1PR4","S1PR4",-0.0171793206010794,-0.0150542877297057,-0.0161168041653926
"79","B","NK","HLA-B","HLA-B","CANX","CANX",-0.728616340036732,0.0901984163971247,-0.319208961819804
"80","B","NK","CALR","CALR","HLA-F","HLA-F",-0.330657276432627,-0.0467874563289466,-0.188722366380787
"81","B","NK","B2M","B2M","HLA-F","HLA-F",-0.96808152102379,-0.0467874563289466,-0.507434488676368
"82","B","NK","LRPAP1","LRPAP1","SORL1","SORL1",-0.101414032999025,0.0582295909677922,-0.0215922210156165
"83","B","NK","HLA-A","HLA-A","APLP2","APLP2",-0.749821290724325,0.0162858664516183,-0.366767712136353
"84","B","NK","B2M","B2M","CD3D","CD3D",-0.96808152102379,-0.523113482218249,-0.745597501621019
"85","B","NK","HLA-A","HLA-A","CD3D","CD3D",-0.749821290724325,-0.523113482218249,-0.636467386471287
"86","B","NK","HLA-C","HLA-C","CD3D","CD3D",-0.862434970519042,-0.523113482218249,-0.692774226368646
"87","B","NK","HLA-B","HLA-B","CD3D","CD3D",-0.728616340036732,-0.523113482218249,-0.625864911127491
"88","B","NK","B2M","B2M","KIR2DL3","KIR2DL3",-0.96808152102379,0.423212651268706,-0.272434434877542
"89","B","NK","HLA-A","HLA-A","KIR2DL3","KIR2DL3",-0.749821290724325,0.423212651268706,-0.163304319727809
"90","B","NK","HLA-B","HLA-B","KIR2DL3","KIR2DL3",-0.728616340036732,0.423212651268706,-0.152701844384013
"91","B","NK","ICAM2","ICAM2","ITGAL","ITGAL",0.0887135674169522,0.144412410890431,0.116562989153691
"92","B","NK","B2M","B2M","CD247","CD247",-0.96808152102379,0.784682715760825,-0.0916994026314821
"93","B","NK","B2M","B2M","KLRD1","KLRD1",-0.96808152102379,0.830116326659573,-0.0689825971821081
"94","B","NK","HLA-B","HLA-B","KLRD1","KLRD1",-0.728616340036732,0.830116326659573,0.0507499933114206
"95","B","NK","ICAM2","ICAM2","ITGB2","ITGB2",0.0887135674169522,0.752926018397243,0.420819792907098
"96","B","NK","VIM","VIM","CD44","CD44",0.202378642478704,-0.311693946272449,-0.0546576518968725
"97","B","NK","B2M","B2M","CD3G","CD3G",-0.96808152102379,-0.106672875178342,-0.537377198101066
"98","B","NK","B2M","B2M","KLRC1","KLRC1",-0.96808152102379,0.494168965949764,-0.236956277537013
"99","B","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0789395494195753,0.205510887770244,0.14222521859491
"100","B","NK","UBA52","UBA52","NOTCH1","NOTCH1",0.488520213935104,0.168692371645531,0.328606292790317
"101","B","NK","UBA52","UBA52","TGFBR1","TGFBR1",0.488520213935104,0.353414029386622,0.420967121660863
