"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"221","NK","NK","HLA-E","HLA-E","KLRC1","KLRC1",0.127209690780008,0.598978322464099,0.363094006622053
"222","NK","NK","HLA-A","HLA-A","CD3G","CD3G",0.12355727402379,-0.0990995321886448,0.0122288709175725
"223","NK","NK","HLA-B","HLA-B","CD3G","CD3G",0.174107501778931,-0.0990995321886448,0.0375039847951429
"224","NK","NK","ICAM2","ICAM2","ITGAM","ITGAM",0.00501994731302013,0.153601182942091,0.0793105651275558
"225","NK","NK","FASLG","FASLG","TNFRSF1A","TNFRSF1A",0.296480183662221,0.276891583764173,0.286685883713197
"226","NK","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",-0.854716654868215,0.276891583764173,-0.288912535552021
"227","NK","NK","CALM2","CALM2","SELL","SELL",-0.359369773876021,0.474021474072875,0.0573258500984267
"228","NK","NK","CALM1","CALM1","SELL","SELL",0.333029178308671,0.474021474072875,0.403525326190773
"229","NK","NK","CALM3","CALM3","SELL","SELL",0.18495481839782,0.474021474072875,0.329488146235348
"230","NK","NK","GNAI2","GNAI2","S1PR4","S1PR4",0.165453046700815,-0.012962553838287,0.0762452464312639
"231","NK","NK","HLA-B","HLA-B","CANX","CANX",0.174107501778931,0.0813998662238753,0.127753684001403
"232","NK","NK","CALR","CALR","HLA-F","HLA-F",0.399582090452153,-0.0589842925103053,0.170298898970924
"233","NK","NK","B2M","B2M","HLA-F","HLA-F",0.0978170690027964,-0.0589842925103053,0.0194163882462455
"234","NK","NK","LRPAP1","LRPAP1","SORL1","SORL1",0.101584595027432,0.0389689515702991,0.0702767732988657
"235","NK","NK","HLA-A","HLA-A","APLP2","APLP2",0.12355727402379,0.0020243390165961,0.0627908065201929
"236","NK","NK","NUCB2","NUCB2","ERAP1","ERAP1",0.0731350483949149,0.198746305383004,0.135940676888959
"237","NK","NK","B2M","B2M","CD3D","CD3D",0.0978170690027964,-0.758938694520343,-0.330560812758773
"238","NK","NK","HLA-A","HLA-A","CD3D","CD3D",0.12355727402379,-0.758938694520343,-0.317690710248277
"239","NK","NK","HLA-C","HLA-C","CD3D","CD3D",0.171786569813065,-0.758938694520343,-0.293576062353639
"240","NK","NK","HLA-B","HLA-B","CD3D","CD3D",0.174107501778931,-0.758938694520343,-0.292415596370706
"241","NK","NK","B2M","B2M","KIR2DL3","KIR2DL3",0.0978170690027964,0.323653734191473,0.210735401597135
"242","NK","NK","HLA-A","HLA-A","KIR2DL3","KIR2DL3",0.12355727402379,0.323653734191473,0.223605504107632
"243","NK","NK","HLA-B","HLA-B","KIR2DL3","KIR2DL3",0.174107501778931,0.323653734191473,0.248880617985202
"244","NK","NK","ICAM2","ICAM2","ITGAL","ITGAL",0.00501994731302013,0.121137003844655,0.0630784755788373
"245","NK","NK","B2M","B2M","CD247","CD247",0.0978170690027964,0.838642969055993,0.468230019029395
"246","NK","NK","B2M","B2M","KLRD1","KLRD1",0.0978170690027964,0.948634123014576,0.523225596008686
"247","NK","NK","HLA-B","HLA-B","KLRD1","KLRD1",0.174107501778931,0.948634123014576,0.561370812396753
"248","NK","NK","SPON2","SPON2","ITGB2","ITGB2",1.31838243799041,0.76124503366279,1.0398137358266
