"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"52","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.374319606450614,0.320318092325787,0.199056328661466,0.634976075689551
"53","B","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.954335724036847,0.251222995315255,0.199056328661466,0.710968080243627
"54","B","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,2.20648250147255,0.199056328661466,0.87937208274816
"55","B","NK","TIMP1","TIMP1","CD63","CD63",0.137708812926166,2.07762185697321,0.199056328661466,0.728786096926508
"56","B","NK","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.07522147794157,0.199056328661466,0.77048622403464
"57","B","NK","SELPLG","SELPLG","ITGAM","ITGAM",0.177682740845203,0.234815856249862,0.199056328661466,0.506452833612648
"58","B","NK","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.76184856458229,0.199056328661466,0.737588343117485
"59","B","NK","SELPLG","SELPLG","ITGB2","ITGB2",0.177682740845203,2.20648250147255,0.199056328661466,0.758777603779181
"60","B","NK","LYZ","LYZ","ITGAL","ITGAL",1.16548664124899,0.251222995315255,0.199056328661466,0.73106440639509
"61","B","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",0.135743568975994,0.293543322263097,0.199056328661466,0.500702140934129
"62","B","NK","GNAI2","GNAI2","S1PR5","S1PR5",0.426597193353934,0.646330301209225,0.199056328661466,0.725117027760787
"63","B","NK","GNAI2","GNAI2","CXCR3","CXCR3",0.426597193353934,0.254680211646446,0.199056328661466,0.62347790889845
"64","B","NK","GNAI2","GNAI2","ADCY7","ADCY7",0.426597193353934,0.313315850176681,0.199056328661466,0.647470326083761
"65","B","NK","PKM","PKM","CD44","CD44",0.677131888410867,0.425514216912607,0.199056328661466,0.729481667750752
"66","B","NK","CALM1","CALM1","PTPRA","PTPRA",1.57497508930134,0.163515073333982,0.199056328661466,0.71826306625739
"67","B","NK","GNAS","GNAS","ADCY7","ADCY7",0.734176766623014,0.313315850176681,0.199056328661466,0.706696412453363
"68","B","NK","HLA-C","HLA-C","CD3G","CD3G",3.48661807632961,0.196046214000817,0.199056328661466,0.805953952637058
"69","B","NK","HLA-E","HLA-E","KLRD1","KLRD1",2.49940506611986,1.2213122175345,0.199056328661466,0.897721163328375
"70","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.642471081440022,0.199056328661466,0.864241780730991
"71","B","NK","HLA-A","HLA-A","CD3G","CD3G",3.2691842147084,0.196046214000817,0.199056328661466,0.800869120462477
"72","B","NK","HLA-B","HLA-B","CD3G","CD3G",2.91367368215144,0.196046214000817,0.199056328661466,0.791529955254068
"73","B","NK","ICAM2","ICAM2","ITGAM","ITGAM",0.534134895138124,0.234815856249862,0.199056328661466,0.640178086815785
"74","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",2.96262657253701,0.327631764490504,0.199056328661466,0.831916761515171
"75","B","NK","CALM2","CALM2","SELL","SELL",1.34268611745062,1.76184856458229,0.199056328661466,0.885409496486198
"76","B","NK","CALM1","CALM1","SELL","SELL",1.57497508930134,1.76184856458229,0.199056328661466,0.893258782602827
"77","B","NK","CALM3","CALM3","SELL","SELL",0.591674319958562,1.76184856458229,0.199056328661466,0.836846578445333
"78","B","NK","GNAI2","GNAI2","S1PR4","S1PR4",0.426597193353934,0.598346267100003,0.199056328661466,0.717362692728448
"79","B","NK","HLA-B","HLA-B","CANX","CANX",2.91367368215144,0.423079387823194,0.199056328661466,0.847971248854126
"80","B","NK","CALR","CALR","HLA-F","HLA-F",0.571057825365127,0.711714099875384,0.199056328661466,0.762057966492447
"81","B","NK","B2M","B2M","HLA-F","HLA-F",5.08030092207413,0.711714099875384,0.199056328661466,0.905236608582442
"82","B","NK","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.264592629599535,0.199056328661466,0.589079383338767
"83","B","NK","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.217274440821294,0.199056328661466,0.808940530255229
"84","B","NK","B2M","B2M","CD3D","CD3D",5.08030092207413,0.382422591834352,0.199056328661466,0.875035873282509
"85","B","NK","HLA-A","HLA-A","CD3D","CD3D",3.2691842147084,0.382422591834352,0.199056328661466,0.848877377134907
"86","B","NK","HLA-C","HLA-C","CD3D","CD3D",3.48661807632961,0.382422591834352,0.199056328661466,0.852961385615726
"87","B","NK","HLA-B","HLA-B","CD3D","CD3D",2.91367368215144,0.382422591834352,0.199056328661466,0.841343734104001
"88","B","NK","B2M","B2M","KIR2DL3","KIR2DL3",5.08030092207413,0.258151009290912,0.199056328661466,0.851920939519777
"89","B","NK","HLA-A","HLA-A","KIR2DL3","KIR2DL3",3.2691842147084,0.258151009290912,0.199056328661466,0.821908614755129
"90","B","NK","HLA-B","HLA-B","KIR2DL3","KIR2DL3",2.91367368215144,0.258151009290912,0.199056328661466,0.81332619477969
"91","B","NK","ICAM2","ICAM2","ITGAL","ITGAL",0.534134895138124,0.251222995315255,0.199056328661466,0.647919553629352
"92","B","NK","B2M","B2M","CD247","CD247",5.08030092207413,1.93758526636851,0.199056328661466,0.94033967438514
"93","B","NK","B2M","B2M","KLRD1","KLRD1",5.08030092207413,1.2213122175345,0.199056328661466,0.926000443823931
"94","B","NK","HLA-B","HLA-B","KLRD1","KLRD1",2.91367368215144,1.2213122175345,0.199056328661466,0.904550232874158
"95","B","NK","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,2.20648250147255,0.199056328661466,0.845052684616485
"96","B","NK","VIM","VIM","CD44","CD44",2.02913858438351,0.425514216912607,0.199056328661466,0.823572950250342
"97","B","NK","B2M","B2M","CD3G","CD3G",5.08030092207413,0.196046214000817,0.199056328661466,0.833709706789921
"98","B","NK","B2M","B2M","KLRC1","KLRC1",5.08030092207413,0.642471081440022,0.199056328661466,0.900754480391105
"99","B","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.27507301748237,0.290100016839441,0.199056328661466,0.586628084249706
"100","B","NK","UBA52","UBA52","NOTCH1","NOTCH1",3.29531300253076,0.136564891325529,0.199056328661466,0.771171914693344
"101","B","NK","UBA52","UBA52","TGFBR1","TGFBR1",3.29531300253076,0.234552940157019,0.199056328661466,0.815383978747101
"102","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",0.415304167091577,0.21085677859872,0.199056328661466,0.597848216106669
"103","B","CD8 T","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.327414437002168,0.199056328661466,0.66839403704439
"104","B","CD8 T","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.308531709927766,0.199056328661466,0.529098227789654
"105","B","CD8 T","GNAS","GNAS","PTGDR","PTGDR",0.734176766623014,0.154508872030404,0.199056328661466,0.628529340837688
"106","B","CD8 T","ICAM3","ICAM3","ITGAL","ITGAL",0.954335724036847,0.253758341654867,0.199056328661466,0.711998705660993
"107","B","CD8 T","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,1.10399367841308,0.199056328661466,0.837570947602674
"108","B","CD8 T","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.626077291096735,0.199056328661466,0.595974473209397
"109","B","CD8 T","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,2.01083647943994,0.199056328661466,0.821137142488588
"110","B","CD8 T","SELPLG","SELPLG","SELL","SELL",0.177682740845203,0.726658286741193,0.199056328661466,0.643512007035788
"111","B","CD8 T","SELPLG","SELPLG","ITGB2","ITGB2",0.177682740845203,1.10399367841308,0.199056328661466,0.689922436569101
"112","B","CD8 T","LYZ","LYZ","ITGAL","ITGAL",1.16548664124899,0.253758341654867,0.199056328661466,0.732050379553809
"113","B","CD8 T","ADAM28","ADAM28","ITGA4","ITGA4",0.186510841753175,0.296719237689547,0.199056328661466,0.541665658504605
"114","B","CD8 T","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",0.135743568975994,0.326010196917746,0.199056328661466,0.513811555096476
"115","B","CD8 T","GNAI2","GNAI2","S1PR5","S1PR5",0.426597193353934,0.351420907946093,0.199056328661466,0.660455471228458
"116","B","CD8 T","GNAI2","GNAI2","CXCR3","CXCR3",0.426597193353934,0.327414437002168,0.199056328661466,0.652477138421116
"117","B","CD8 T","PKM","PKM","CD44","CD44",0.677131888410867,1.02215523036448,0.199056328661466,0.806929284621353
"118","B","CD8 T","CALM1","CALM1","PTPRA","PTPRA",1.57497508930134,0.196750397510955,0.199056328661466,0.736601215201901
"119","B","CD8 T","HLA-C","HLA-C","CD3G","CD3G",3.48661807632961,0.383235039408898,0.199056328661466,0.853094418497543
"120","B","CD8 T","HLA-E","HLA-E","KLRD1","KLRD1",2.49940506611986,0.330485327136156,0.199056328661466,0.820331831888797
"121","B","CD8 T","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.251176311438171,0.199056328661466,0.799214745397518
"122","B","CD8 T","HLA-A","HLA-A","CD3G","CD3G",3.2691842147084,0.383235039408898,0.199056328661466,0.849013450946608
"123","B","CD8 T","HLA-B","HLA-B","CD3G","CD3G",2.91367368215144,0.383235039408898,0.199056328661466,0.841485324655061
"124","B","CD8 T","LTB","LTB","TNFRSF1A","TNFRSF1A",2.96262657253701,0.157273328330124,0.199056328661466,0.774224463148971
"125","B","CD8 T","CALM2","CALM2","SELL","SELL",1.34268611745062,0.726658286741193,0.199056328661466,0.832277354719128
"126","B","CD8 T","CALM1","CALM1","SELL","SELL",1.57497508930134,0.726658286741193,0.199056328661466,0.843121266722351
"127","B","CD8 T","CALM3","CALM3","SELL","SELL",0.591674319958562,0.726658286741193,0.199056328661466,0.767119741853449
"128","B","CD8 T","GNAI2","GNAI2","S1PR4","S1PR4",0.426597193353934,0.613919247516017,0.199056328661466,0.719960154394496
"129","B","CD8 T","HLA-B","HLA-B","CANX","CANX",2.91367368215144,0.309277805498414,0.199056328661466,0.826656935408814
"130","B","CD8 T","CALR","CALR","HLA-F","HLA-F",0.571057825365127,0.762632253040268,0.199056328661466,0.768265910803669
"131","B","CD8 T","B2M","B2M","HLA-F","HLA-F",5.08030092207413,0.762632253040268,0.199056328661466,0.908159197012684
"132","B","CD8 T","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.305588019378849,0.199056328661466,0.606395097786153
"133","B","CD8 T","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.161235811414212,0.199056328661466,0.784822450509259
"134","B","CD8 T","B2M","B2M","CD3D","CD3D",5.08030092207413,2.19006242533081,0.199056328661466,0.943684267330643
"135","B","CD8 T","HLA-A","HLA-A","CD3D","CD3D",3.2691842147084,2.19006242533081,0.199056328661466,0.930758709296942
"136","B","CD8 T","HLA-C","HLA-C","CD3D","CD3D",3.48661807632961,2.19006242533081,0.199056328661466,0.932805077779744
"137","B","CD8 T","HLA-B","HLA-B","CD3D","CD3D",2.91367368215144,2.19006242533081,0.199056328661466,0.926955710134876
"138","B","CD8 T","CALM1","CALM1","FAS","FAS",1.57497508930134,0.150088932642222,0.199056328661466,0.709513727784458
"139","B","CD8 T","ICAM2","ICAM2","ITGAL","ITGAL",0.534134895138124,0.253758341654867,0.199056328661466,0.649064025921012
"140","B","CD8 T","B2M","B2M","CD247","CD247",5.08030092207413,1.07022848239564,0.199056328661466,0.921346841082138
"141","B","CD8 T","B2M","B2M","KLRD1","KLRD1",5.08030092207413,0.330485327136156,0.199056328661466,0.86683459473956
"142","B","CD8 T","HLA-B","HLA-B","KLRD1","KLRD1",2.91367368215144,0.330485327136156,0.199056328661466,0.831357425630467
"143","B","CD8 T","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,1.10399367841308,0.199056328661466,0.794142889509624
"144","B","CD8 T","VIM","VIM","CD44","CD44",2.02913858438351,1.02215523036448,0.199056328661466,0.878567031971259
"145","B","CD8 T","B2M","B2M","CD3G","CD3G",5.08030092207413,0.383235039408898,0.199056328661466,0.875151857600892
"146","B","CD8 T","B2M","B2M","KLRC1","KLRC1",5.08030092207413,0.251176311438171,0.199056328661466,0.850184979040673
"147","B","CD8 T","UBA52","UBA52","TGFBR2","TGFBR2",3.29531300253076,0.21085677859872,0.199056328661466,0.807232967985648
"148","NK","B","IFNG","IFNG","IFNGR1","IFNGR1",0.470846318282549,0.125198274575497,0.199056328661466,0.549494225860438
"149","NK","B","FASLG","FASLG","FAS","FAS",0.27283150035115,0.117997956108831,0.199056328661466,0.474066543608995
"150","NK","B","CD86","CD86","CD28","CD28",0.152487467483942,0.116665254727136,0.199056328661466,0.401218099949677
"151","NK","B","IFNG","IFNG","IFNGR2","IFNGR2",0.470846318282549,0.22253843403016,0.199056328661466,0.61921743087233
"152","NK","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",1.05879560922601,0.393793090881736,0.199056328661466,0.764366297326901
"153","NK","B","CCL5","CCL5","CXCR3","CXCR3",2.50336773982058,0.118578093468527,0.199056328661466,0.732411887107032
"154","NK","B","ANXA1","ANXA1","FPR1","FPR1",2.1121373119575,0.106251394941705,0.199056328661466,0.704130234247882
"155","NK","B","SEMA4D","SEMA4D","CD72","CD72",0.200966848869355,0.377493402303649,0.199056328661466,0.580483540124322
"156","NK","B","ICAM3","ICAM3","ITGB2","ITGB2",0.838508767564103,0.760072642284877,0.199056328661466,0.800421637305175
"157","NK","B","TIMP1","TIMP1","CD63","CD63",0.366608914499595,0.48357702176794,0.199056328661466,0.678996791532623
"158","NK","B","TGFB1","TGFB1","CXCR4","CXCR4",0.931933919326705,1.32766130682417,0.199056328661466,0.848209997494305
"159","NK","B","SELPLG","SELPLG","ITGAM","ITGAM",0.421189604392454,0.139321883774479,0.199056328661466,0.548929702581599
"160","NK","B","SELPLG","SELPLG","SELL","SELL",0.421189604392454,1.30654727375117,0.199056328661466,0.788436276394561
"161","NK","B","SELPLG","SELPLG","ITGB2","ITGB2",0.421189604392454,0.760072642284877,0.199056328661466,0.739748291918963
"162","NK","B","HSP90B1","HSP90B1","TLR7","TLR7",0.904504091963788,0.146530502560571,0.199056328661466,0.646507465370148
"163","NK","B","GNAI2","GNAI2","FPR1","FPR1",0.570835281855508,0.106251394941705,0.199056328661466,0.553016577948022
"164","NK","B","GNAI2","GNAI2","CXCR3","CXCR3",0.570835281855508,0.118578093468527,0.199056328661466,0.566540053299651
"165","NK","B","PKM","PKM","CD44","CD44",0.585391593388951,0.655390474380009,0.199056328661466,0.75679142243704
"166","NK","B","CALM1","CALM1","PTPRA","PTPRA",2.51695851137811,0.124501960876382,0.199056328661466,0.737686028074773
"167","NK","B","HLA-C","HLA-C","CD3G","CD3G",4.30320983709084,0.218130867710745,0.199056328661466,0.829560832889613
"168","NK","B","HLA-A","HLA-A","CD3G","CD3G",3.92010525050694,0.218130867710745,0.199056328661466,0.822867426118764
"169","NK","B","HLA-B","HLA-B","CD3G","CD3G",3.60848931769051,0.218130867710745,0.199056328661466,0.816750043366152
"170","NK","B","ICAM2","ICAM2","ITGAM","ITGAM",0.459545030143938,0.139321883774479,0.199056328661466,0.559694946693663
"171","NK","B","CALM2","CALM2","SELL","SELL",0.83673702328163,1.30654727375117,0.199056328661466,0.840068616727889
"172","NK","B","CALM1","CALM1","SELL","SELL",2.51695851137811,1.30654727375117,0.199056328661466,0.901089309316177
"173","NK","B","CALM3","CALM3","SELL","SELL",0.809041228104364,1.30654727375117,0.199056328661466,0.837794491248677
"174","NK","B","GNAI2","GNAI2","S1PR4","S1PR4",0.570835281855508,0.617799111087582,0.199056328661466,0.74895452606247
"175","NK","B","HLA-B","HLA-B","CANX","CANX",3.60848931769051,0.359646316820364,0.199056328661466,0.851257108171707
"176","NK","B","GSTP1","GSTP1","TRAF2","TRAF2",1.55187548772708,0.168244428119976,0.199056328661466,0.719650939670644
"177","NK","B","CALR","CALR","HLA-F","HLA-F",1.28639822235435,0.789576504544845,0.199056328661466,0.835065436818381
"178","NK","B","B2M","B2M","HLA-F","HLA-F",5.81070168823614,0.789576504544845,0.199056328661466,0.91497013129231
"179","NK","B","LRPAP1","LRPAP1","SORL1","SORL1",0.412413305359203,0.12750279780292,0.199056328661466,0.53531468063049
"180","NK","B","CALM1","CALM1","KCNN4","KCNN4",2.51695851137811,0.121263700639375,0.199056328661466,0.735128239199929
"181","NK","B","HLA-A","HLA-A","APLP2","APLP2",3.92010525050694,0.248975775464901,0.199056328661466,0.832301474769127
"182","NK","B","B2M","B2M","CD3D","CD3D",5.81070168823614,0.498510384940848,0.199056328661466,0.895289963551654
"183","NK","B","HLA-A","HLA-A","CD3D","CD3D",3.92010525050694,0.498510384940848,0.199056328661466,0.875355156791102
"184","NK","B","HLA-C","HLA-C","CD3D","CD3D",4.30320983709084,0.498510384940848,0.199056328661466,0.880353568104144
"185","NK","B","HLA-B","HLA-B","CD3D","CD3D",3.60848931769051,0.498510384940848,0.199056328661466,0.870765779907186
"186","NK","B","CALM1","CALM1","FAS","FAS",2.51695851137811,0.117997956108831,0.199056328661466,0.732461845985835
"187","NK","B","B2M","B2M","CD247","CD247",5.81070168823614,0.269537489139202,0.199056328661466,0.862770522680236
"188","NK","B","LTB","LTB","CD40","CD40",0.976132612922351,0.685959760600616,0.199056328661466,0.80433642120776
"189","NK","B","SPON2","SPON2","ITGB2","ITGB2",1.6151430220959,0.760072642284877,0.199056328661466,0.84770439176794
"190","NK","B","ICAM2","ICAM2","ITGB2","ITGB2",0.459545030143938,0.760072642284877,0.199056328661466,0.748049710525832
"191","NK","B","VIM","VIM","CD44","CD44",0.986986404279211,0.655390474380009,0.199056328661466,0.801604986503933
"192","NK","B","B2M","B2M","CD3G","CD3G",5.81070168823614,0.218130867710745,0.199056328661466,0.849755929859702
"193","NK","B","SPON2","SPON2","ITGAM","ITGAM",1.6151430220959,0.139321883774479,0.199056328661466,0.704411628498931
"194","NK","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.266159606718314,0.223981345070093,0.199056328661466,0.550883644494435
"195","NK","NK","IFNG","IFNG","IFNGR1","IFNGR1",0.470846318282549,0.194453137051598,0.199056328661466,0.603189753024778
"196","NK","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.931933919326705,0.189355420774789,0.199056328661466,0.678493252383585
"197","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.931933919326705,0.234552940157019,0.199056328661466,0.701381217092248
"198","NK","NK","IFNG","IFNG","IFNGR2","IFNGR2",0.470846318282549,0.160541608425798,0.199056328661466,0.580044143706327
"199","NK","NK","CCL5","CCL5","CXCR3","CXCR3",2.50336773982058,0.254680211646446,0.199056328661466,0.800450536998331
"200","NK","NK","GNAS","GNAS","PTGDR","PTGDR",0.694354215587798,0.825506009432042,0.199056328661466,0.791815143541941
"201","NK","NK","MFNG","MFNG","NOTCH1","NOTCH1",0.399271070764672,0.136564891325529,0.199056328661466,0.539823565276008
"202","NK","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",3.92010525050694,0.182113235170343,0.199056328661466,0.809330126596413
"203","NK","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",4.30320983709084,0.258151009290912,0.199056328661466,0.841141063949268
"204","NK","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.838508767564103,0.251222995315255,0.199056328661466,0.697494498386584
"205","NK","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.838508767564103,2.20648250147255,0.199056328661466,0.872339259237613
"206","NK","NK","TIMP1","TIMP1","CD63","CD63",0.366608914499595,2.07762185697321,0.199056328661466,0.814277799451835
"207","NK","NK","TGFB1","TGFB1","CXCR4","CXCR4",0.931933919326705,1.07522147794157,0.199056328661466,0.834129884884495
"208","NK","NK","SELPLG","SELPLG","ITGAM","ITGAM",0.421189604392454,0.234815856249862,0.199056328661466,0.612386406125937
"209","NK","NK","SELPLG","SELPLG","SELL","SELL",0.421189604392454,1.76184856458229,0.199056328661466,0.812298223517382
"210","NK","NK","SELPLG","SELPLG","ITGB2","ITGB2",0.421189604392454,2.20648250147255,0.199056328661466,0.828854585140838
"211","NK","NK","LYZ","LYZ","ITGAL","ITGAL",0.925111833755712,0.251222995315255,0.199056328661466,0.707762127912426
"212","NK","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",0.226239680230066,0.293543322263097,0.199056328661466,0.56419923343491
"213","NK","NK","GNAI2","GNAI2","S1PR5","S1PR5",0.570835281855508,0.646330301209225,0.199056328661466,0.753174966690416
"214","NK","NK","GNAI2","GNAI2","CXCR3","CXCR3",0.570835281855508,0.254680211646446,0.199056328661466,0.657002991745687
"215","NK","NK","GNAI2","GNAI2","ADCY7","ADCY7",0.570835281855508,0.313315850176681,0.199056328661466,0.67995573760035
"216","NK","NK","PKM","PKM","CD44","CD44",0.585391593388951,0.425514216912607,0.199056328661466,0.714879447889003
"217","NK","NK","CALM1","CALM1","PTPRA","PTPRA",2.51695851137811,0.163515073333982,0.199056328661466,0.763193454825862
"218","NK","NK","GNAS","GNAS","ADCY7","ADCY7",0.694354215587798,0.313315850176681,0.199056328661466,0.700883628268977
