"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"151","CD8 T","B","LTB","LTB","CD40","CD40",0.0455156252601467,0.692265267456456,0.368890446358301
"152","CD8 T","B","ICAM2","ICAM2","ITGB2","ITGB2",-0.118076263655528,-0.581222651836024,-0.349649457745776
"153","CD8 T","B","VIM","VIM","CD44","CD44",0.386439134509692,-0.106895510821158,0.139771811844267
"154","CD8 T","B","PTDSS1","PTDSS1","JMJD6","JMJD6",-0.177576971584166,0.0672630945135509,-0.0551569385353073
"155","CD8 T","NK","IFNG","IFNG","IFNGR1","IFNGR1",-0.0629717336757139,-0.0122488770515148,-0.0376103053636144
"156","CD8 T","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.388578887847675,0.217929366692245,-0.0853247605777153
"157","CD8 T","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.388578887847675,0.258429258512379,-0.0650748146676483
"158","CD8 T","NK","IFNG","IFNG","IFNGR2","IFNGR2",-0.0629717336757139,0.0255977480162948,-0.0186869928297096
"159","CD8 T","NK","IL23A","IL23A","IL12RB1","IL12RB1",0.299687031591183,0.399678530288043,0.349682780939613
"160","CD8 T","NK","CCL5","CCL5","CXCR3","CXCR3",0.955518888823301,0.0282591152983793,0.49188900206084
"161","CD8 T","NK","GNAS","GNAS","PTGDR","PTGDR",-0.245309465188047,0.749107282165198,0.251898908488575
"162","CD8 T","NK","MFNG","MFNG","NOTCH1","NOTCH1",0.09108237253019,0.0872189883932877,0.0891506804617389
"163","CD8 T","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",0.050474189440143,0.208327095509922,0.129400642475033
"164","CD8 T","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",0.00929917689151871,0.317007425812159,0.163153301351839
"165","CD8 T","NK","ICAM3","ICAM3","ITGAL","ITGAL",-0.0491553951683659,0.12214536962723,0.0364949872294322
"166","CD8 T","NK","ICAM3","ICAM3","ITGB2","ITGB2",-0.0491553951683659,0.756664495967707,0.35375455039967
"167","CD8 T","NK","TIMP1","TIMP1","CD63","CD63",0.17492017410236,1.00245945068829,0.588689812395325
"168","CD8 T","NK","SELPLG","SELPLG","SELL","SELL",-0.0144173112232882,0.472880089740827,0.22923138925877
"169","CD8 T","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",0.0631681577810988,0.12277605775227,0.0929721077666843
"170","CD8 T","NK","HLA-E","HLA-E","KLRD1","KLRD1",0.0326467682401801,0.939497345482225,0.486072056861203
"171","CD8 T","NK","HLA-E","HLA-E","KLRC1","KLRC1",0.0326467682401801,0.590075380820481,0.31136107453033
"172","CD8 T","NK","ICAM2","ICAM2","ITGAM","ITGAM",-0.118076263655528,0.160306975616942,0.0211153559807069
"173","CD8 T","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",0.0455156252601467,0.279448847437181,0.162482236348664
"174","CD8 T","NK","HLA-B","HLA-B","CANX","CANX",-0.010721990378407,0.0784294061181388,0.0338537078698659
